Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak,
31/12/2020,38.54,35,32.13,,29.24,31.67,34,33.85,37.97,46.59,48.19,43.23,43.57,50.52,52.36,53.08,56.54,59.2,61.34,61.08,59.47,56.7,52.44,51.86,52.26,29.24,61.34,33.73,34.37,45.4,53.13,60.27,53.32,46.7,52.93,33.43,34.05,49.26,40.47,41.65,47.42,57.54,55.64,49.88,
30/12/2020,38.05,36.01,32.6,,32.01,32.6,36.03,37.51,47.18,53.01,54,53.45,51.95,55.63,54.07,53.95,55.61,56.08,60,56.32,53.6,52.38,46.88,43.22,37.43,32.01,60,34.67,38.33,53.1,54.82,56.5,44.98,47.07,54.81,34.55,36.5,53.96,39.33,47.93,53.78,56.41,48.31,54.11,
29/12/2020,38.8,39.34,37.87,,34.27,34.06,37.26,43.3,49.19,54.25,55.34,51.23,54.4,55,52.41,53.64,54.58,54.6,55.39,53.13,50.84,43.76,39.34,37.83,29.18,29.18,55.39,37.57,40.95,53.81,53.91,53.49,37.53,46.21,53.73,36.93,39.26,53.86,38.68,50.52,53.26,54.55,42.35,53.54,
28/12/2020,4.5,2.75,5.5,,5.91,9.09,20.43,35.1,45.27,49.23,49.59,51.17,51.5,51.96,50.95,51.93,50.6,52.44,56.98,56.95,55.59,49.01,45.6,46.9,42.14,2.75,56.98,4.67,27.47,50.37,51.36,55.49,45.91,39.21,52.41,8.03,16.07,50.87,26.02,44.8,51.4,52.99,49.37,51.35,
27/12/2020,-6.87,-12.45,-13.38,,-19.09,-17.6,-22.16,-33.58,-29.9,-19.79,-13.3,-19.84,-12.1,-26.68,-30,-33.06,-29.96,-7.77,-0.58,0.06,0.08,0.1,8.98,10.11,5.91,-33.58,10.11,-12.95,-25.81,-16.26,-29.93,-2.05,6.28,-13.45,-16.08,-15.26,-19.38,-23.09,-10.83,-24.14,-22.16,-17.84,4.21,-25.27,
26/12/2020,39.8,30.25,26.71,,19.97,17.18,17.36,17.84,21.79,27.36,30.9,27.96,30.87,25.49,20.06,18.03,18.68,19.73,19.22,16.82,14.37,9.25,0.03,0.02,-10.08,-10.08,39.8,29.18,18.54,29.27,20.57,17.54,-0.2,19.15,22.46,25.21,23.86,24.92,15.84,24.47,26.1,18.92,5.07,23.52,
25/12/2020,29.9,22.61,16,,12.57,12.94,13.86,13.02,14.71,26.55,34.06,39.65,45.38,43.31,38.71,40.98,44.92,49.38,51.73,50.87,49.74,47.08,47.4,47.9,44.92,12.57,51.73,20.27,13.63,36.41,41.98,50.43,46.83,34.92,42.94,17.98,16.95,39.2,26.91,22.09,41.76,46.75,47.99,42.16,
24/12/2020,1.59,4.57,4.41,,-0.04,1.5,9.39,4.41,16.79,19.9,30.28,33.89,35.93,38.22,36.88,33.88,36.19,38.4,38.8,36.32,33.36,32.86,33.1,33.32,29.93,-0.04,38.8,2.63,8.02,30,36.29,36.72,32.3,24.33,34.34,3.57,5.33,33.15,14.32,17.85,36.23,36.82,33.15,35.83,
23/12/2020,38.6,34.2,33.57,,33.55,35.36,39.76,43.9,46.72,52.94,53.14,54,55.93,56,54.51,49.97,46.92,46.75,52.08,51.13,44.82,40.25,33.15,30.39,25.85,25.85,56,34.98,41.44,54,51.85,48.7,32.41,43.9,51.52,35.84,38.21,52.93,36.28,49.18,55.11,48.93,37.6,52.89,
22/12/2020,1.49,-0.02,-7.51,,-9.8,-7.22,-1.13,1.34,27.25,29.99,32.27,27.95,33.22,34.27,34.11,36.26,44.95,49.05,55.91,54.15,53.9,47.87,42.28,43.98,40,-9.8,55.91,-3.96,5.06,30.86,37.4,53.25,43.53,27.69,40.5,-4.03,0.55,34.13,14.88,22.71,32.39,46.54,47.03,35.13,
