# 30/12/2019 12:57:19 PM : Volumes - EPEX Spot Market Auction - Germany/Luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Day Volume
31/12/2019,27228.0,27199.2,27146.2,,26800.8,26100.1,25439.8,26739.4,27206.0,28200.7,28702.3,28767.9,29613.8,28901.1,27056.8,24537.1,23935.4,25206.4,25046.1,25058.5,24706.1,21111.4,21072.5,21577.4,21807.0,619160.0
30/12/2019,29230.8,29038.0,29868.1,,30416.5,30823.5,30024.5,30682.1,30982.4,33942.2,35676.2,37722.4,39635.8,40157.0,39644.6,36259.8,32942.1,32930.8,33039.4,32962.0,33581.9,31689.9,31487.3,31203.1,31254.7,795195.1
29/12/2019,20637.5,21460.3,22863.6,,23546.8,23637.7,23841.7,23717.8,23076.4,22322.4,22445.1,23943.2,25259.5,25428.5,24816.2,22653.7,21839.9,23305.7,24174.4,23863.5,23269.5,23739.0,23996.7,24391.4,26607.7,564838.2
28/12/2019,20385.1,20456.0,20953.3,,21685.1,21841.8,21046.2,21122.8,20103.9,20608.8,21264.9,21781.4,22332.0,22158.2,21751.8,21286.3,20832.5,21410.1,23267.0,23281.3,23361.7,21859.0,20602.1,20364.7,20949.9,514705.9
27/12/2019,22618.4,23734.9,24144.2,,24225.4,24306.8,22378.1,21092.9,22453.2,25276.1,25075.3,25942.7,26718.2,27307.7,27215.9,27033.0,26956.6,27212.2,26014.8,26819.7,28251.1,24328.9,21506.2,20866.3,20241.5,591720.1
26/12/2019,22460.4,23230.4,23769.1,,24273.6,24238.4,23993.5,23898.6,23493.3,24746.6,23891.9,25776.8,26196.1,26891.4,26853.4,26237.0,26065.2,25516.4,25861.5,25830.8,25731.3,23203.1,23199.8,22705.1,21823.7,589887.4
25/12/2019,24218.2,24204.1,24360.7,,24537.1,24791.1,24611.8,24002.3,23537.2,24583.3,22879.7,23257.3,24059.4,24629.1,24623.4,23854.6,23880.0,24708.3,23464.9,23383.2,23192.8,21214.1,21411.7,22412.3,21736.3,567552.9
24/12/2019,28129.4,28548.9,27989.7,,27580.6,27417.3,26867.9,25646.3,25678.6,25473.4,25758.3,24871.0,23711.2,22989.4,23357.5,23175.2,24046.8,25568.1,25124.0,24086.3,24796.1,24822.8,23892.9,23869.3,24995.3,608396.3
23/12/2019,25042.2,26134.4,26328.1,,26101.3,25900.4,25438.5,24488.6,24754.9,26263.1,26502.2,26251.1,26489.7,26479.2,26436.9,24886.1,24739.3,25295.2,25956.9,25744.0,26318.8,25009.5,25489.4,25393.1,25780.4,617223.3
22/12/2019,23222.4,24703.6,25716.8,,25603.0,25774.5,25171.7,25499.5,24078.3,22606.4,21819.0,21866.0,23570.2,23571.1,22703.4,21791.7,20519.2,21625.2,21395.2,21388.8,20580.7,21260.0,20980.8,22360.6,24763.1,552571.2
21/12/2019,24813.9,24208.0,24761.1,,24695.9,24604.2,23956.8,23275.0,22346.5,21132.0,22070.8,22585.8,22424.2,22837.5,22722.2,22521.8,22069.1,22408.2,22578.8,23002.5,22357.9,21876.9,21605.6,21564.8,23936.1,550355.6
20/12/2019,22248.6,23334.3,23648.9,,23235.3,23080.8,22408.2,22720.6,22563.6,24154.8,25666.8,25470.8,25645.9,25688.6,26808.4,25926.0,24769.5,25243.3,24033.4,23519.4,23987.5,20863.3,20670.4,20884.8,21594.0,568167.2
19/12/2019,21768.7,22646.3,23880.4,,24881.9,25468.8,23952.8,22125.7,23178.5,25189.8,26342.8,28628.5,29674.2,29813.2,28454.6,26469.6,25722.7,26065.4,26464.9,26075.1,25994.7,22793.4,22333.2,21694.8,21975.5,601595.5
18/12/2019,28351.6,29259.5,29119.4,,28068.9,26477.0,25222.6,25151.0,26030.4,27958.2,27611.3,27827.0,28608.4,28797.2,27521.3,27127.7,26414.3,27439.4,26941.5,26701.2,25925.3,24409.1,22286.9,21014.9,21772.0,636036.1
17/12/2019,23786.1,24768.4,24538.6,,25449.5,24495.4,22921.7,24170.1,26320.1,25501.4,27227.1,27311.3,28254.0,28603.0,27705.3,26800.4,25062.1,26448.1,28316.7,26788.2,27560.5,27082.0,26043.6,25747.7,27955.9,628857.2
16/12/2019,28141.0,27840.1,27263.8,,26556.4,26907.1,26472.8,25115.3,27341.7,28258.9,30123.4,29818.8,30459.9,30381.2,29603.4,27995.3,27797.0,27310.0,27904.4,27743.4,27486.9,26274.6,24324.6,23530.5,24459.0,659109.5
15/12/2019,31323.9,31281.4,31563.8,,31012.5,31657.0,32757.6,33316.4,33348.8,33527.9,34691.8,35236.6,37208.2,36238.0,34568.8,31930.0,29821.1,27518.1,28042.0,28292.0,28335.8,28117.1,27577.3,27778.1,27531.7,752675.9
14/12/2019,22000.0,23319.5,23388.4,,24376.2,25333.9,25245.3,25868.8,25369.8,23460.3,23833.0,25461.0,26466.7,27679.6,28659.5,28382.0,27429.1,26641.6,26368.0,26596.0,26816.0,27845.8,28257.4,27912.1,29068.8,625778.8
13/12/2019,25903.6,26347.9,27386.8,,27608.9,26582.2,25677.3,25355.8,24372.7,25026.1,24593.3,24535.3,24922.6,25065.0,25279.8,24301.3,24512.4,25404.2,25416.8,24729.8,24736.8,21102.5,19831.4,21113.5,20778.1,590584.1
12/12/2019,22763.4,23338.0,24265.5,,23459.4,22198.1,21900.5,23061.4,25555.9,23869.8,24567.7,26282.8,25935.6,25935.5,25188.8,24313.5,23027.4,23453.1,25253.1,25978.2,25958.2,26100.1,24006.9,23981.8,26198.9,586593.6
11/12/2019,30795.5,30741.2,31053.8,,31008.8,30713.7,29834.2,29951.6,31325.4,32906.5,32887.0,32308.3,30884.5,30463.0,29288.7,28944.7,28692.2,29117.4,29329.4,29335.5,29115.2,27711.0,26393.3,24078.8,24187.1,711066.8
10/12/2019,27157.8,28406.5,28507.0,,27162.9,25664.2,25764.5,24267.9,26156.7,26413.2,27642.7,29061.4,29667.5,29869.6,28551.8,27396.0,26262.8,26477.7,27196.2,28148.1,28724.0,28141.4,26909.8,26238.7,28299.1,658087.5
09/12/2019,33240.1,34228.0,34974.7,,34782.3,33807.4,33252.1,31227.4,31752.0,30950.5,32327.2,32743.7,33181.7,33159.4,31603.1,29326.0,30350.1,29613.3,29381.2,30457.4,30363.7,31185.0,30638.4,30443.8,31743.7,764732.2
08/12/2019,34772.8,36575.8,36528.5,,36547.5,36973.8,38122.7,38759.5,38911.7,37358.5,36210.1,36890.2,37610.3,38265.6,38288.9,36964.9,36653.3,36201.1,37027.2,36441.0,36200.2,36591.2,37531.2,36146.9,35819.1,887392.0
07/12/2019,31140.8,31746.2,32288.7,,32445.5,32150.5,32302.3,31271.6,30409.5,30033.9,30204.9,30120.7,29896.3,29231.6,28939.8,28446.8,27903.3,27736.9,27340.8,26356.6,27020.5,28241.0,29552.5,29251.7,29599.6,713632.0
06/12/2019,28714.4,29291.7,29539.6,,30212.5,30246.6,30129.1,29109.6,28930.7,28626.8,30777.6,30871.8,31786.9,32921.0,32026.6,31224.5,30458.3,29608.4,28761.9,29215.6,29459.2,29768.6,30194.1,30580.6,31500.1,723956.2
05/12/2019,23134.9,23077.0,22787.0,,23202.8,23520.4,24317.2,25430.2,26253.2,27172.3,28119.4,29333.7,30349.6,30684.3,30773.0,29301.0,26944.9,26871.1,26765.8,26926.5,27383.0,25334.0,24529.8,25206.1,26411.0,633828.2
04/12/2019,24645.0,25360.9,25719.2,,25605.8,25677.0,24806.3,24920.7,25909.1,23563.8,25265.5,26992.7,27426.3,27662.8,26750.2,25087.3,23245.8,23816.4,24882.3,23633.4,22602.9,23972.6,23186.5,22492.3,23300.1,596524.9
03/12/2019,24492.9,25739.7,25299.4,,24991.6,24046.1,24104.6,23773.0,26532.3,24959.4,25568.7,26089.9,25355.2,25486.5,25740.3,25214.2,23868.6,25229.4,25273.1,24166.4,23878.4,25081.8,23552.9,23980.0,24370.1,596794.5
02/12/2019,23994.0,24744.0,25418.6,,25790.4,26134.6,26605.2,26907.5,27655.2,26418.5,27016.7,28016.4,28629.4,29030.6,28545.6,27043.0,25677.2,26170.3,25909.6,24906.8,24386.4,23819.8,23292.9,22318.3,22181.1,620612.1
01/12/2019,27023.0,26777.1,26312.1,,26078.4,26181.6,26379.2,27585.1,28788.5,26568.7,25228.1,25226.9,25108.2,26114.0,26258.2,25187.7,24861.6,24447.3,24802.0,25230.2,25716.1,26192.4,25521.9,24901.9,26133.3,622623.5
30/11/2019,21370.7,21702.0,21800.8,,21025.2,20793.4,20638.2,22381.3,20756.5,19268.1,20149.8,21007.6,21564.9,22646.8,22526.7,20863.9,18662.0,18507.2,19401.7,19344.9,19353.4,19386.9,19061.9,19255.2,21172.9,492642.0
29/11/2019,24098.9,24888.7,25163.2,,24840.8,23587.0,22858.7,21393.6,22120.6,20982.5,20439.6,21121.1,21471.0,21907.8,21366.0,20398.6,19464.8,19431.1,19399.2,18306.3,18442.0,17868.3,19751.1,19202.5,20945.1,509448.5
28/11/2019,26132.9,27099.3,27589.6,,27585.4,26942.4,26818.5,25806.0,26620.1,25934.0,26621.2,27320.5,27631.9,27709.2,27305.3,26359.0,26180.6,26085.8,26000.0,26218.5,26462.8,25542.5,25760.3,24520.3,26852.1,637098.2
27/11/2019,21525.9,20687.8,20651.6,,19717.6,19009.7,19530.2,19608.9,20874.6,21264.8,22578.9,23134.2,23489.7,22915.3,22889.5,22593.7,21841.9,21896.1,22742.2,23174.4,23901.8,23492.4,23629.0,23719.0,26526.0,531395.2
26/11/2019,21045.3,20494.9,20634.7,,19815.9,19553.0,18910.1,19832.1,23277.4,22408.5,22551.1,23480.8,23762.4,23149.4,23189.9,23208.7,23099.7,21994.9,22682.4,22917.2,21955.4,20784.1,19681.6,19874.9,21156.0,519460.4
25/11/2019,19604.9,20343.6,20202.7,,20240.9,20126.4,19937.7,22168.9,25782.2,23909.4,24044.4,25308.9,26530.2,26450.7,26647.2,25107.4,24557.5,23893.5,24274.3,23824.8,24192.3,24076.2,21796.3,22279.9,22242.6,557542.9
24/11/2019,25316.0,25681.8,25426.1,,25567.9,25412.5,25713.1,26077.1,25963.8,24283.6,23974.4,25920.0,25760.1,25151.8,24306.1,22111.7,20163.0,19384.5,19381.1,19002.1,19664.7,19858.5,19122.2,18578.3,20747.9,552568.3
23/11/2019,24204.5,24373.0,24633.4,,24936.4,25268.3,26201.7,25675.1,24646.9,25207.4,26390.6,27024.0,27368.5,28103.9,28366.4,27444.2,25058.0,24239.6,22675.9,22681.6,23806.6,23557.3,23211.3,23487.5,24637.9,603200.0
22/11/2019,18607.5,18986.7,19955.1,,20063.7,19053.7,18631.2,19633.7,21094.8,22043.7,21989.3,23627.8,24426.8,24691.9,23734.5,22598.5,22016.3,20241.6,20852.5,20971.9,21773.6,20693.6,19500.8,19790.0,21291.7,506270.9
