# 30/12/2020 11:32:30 AM: Volumes - EPEX Spot Market Auction - germany_luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
31/12/2020,19977.4,20865.4,21013.2,,21209.4,20917.6,20384.8,21016.8,21540.1,23502.9,23077.1,23810.5,23862.9,23834.2,23811.5,23685.4,23502.5,23547.1,23782.7,23497.6,23437.1,20364.2,19405.4,18707.9,18200.5,526954.2
30/12/2020,20864.5,21487.7,22585.1,,23743.7,22753.4,21927.8,22301.3,22215.5,25298.8,25621.2,26179.8,27178.6,26512.5,26589.8,27111.7,27075.1,27790.9,28294.9,27220.8,26429.3,23412.4,22764.5,21556.7,22540.4,589456.4
29/12/2020,21199.3,20937.8,20831.9,,21084.4,22207.6,20697.1,21439.5,22423.4,25471.1,25448.5,25485.3,25796.2,25191.5,24857.7,24685.1,24734.8,25371,26246.1,25923.5,24828.1,23843.2,23548.5,22812,24649.7,569713.3
28/12/2020,26838.3,26823.2,26329.9,,25877.3,25627.3,25401.4,23354,22421.3,26905.7,27152.2,27568.2,28210.8,27946.5,28534.8,28685.8,28484.1,29060.8,28941.8,28308.2,27895.7,24575.7,24240.1,23257.5,21794.8,634235.4
27/12/2020,28522.9,30063.4,30959.5,,31150.4,30973,30985.9,32056.2,31498.2,30448.2,30680.4,31577.2,31799,31449.8,31716.7,30913,30259.3,30479.8,30165.3,29410.1,28166.1,28005,27632,26695.4,26984,722590.8
26/12/2020,24993.3,26432.7,27625.6,,27864.8,28056.6,27750.3,27805.3,27380.5,26922.3,27344.9,28060.8,28564.4,28412.8,27073.5,26898.8,27135.2,28200.5,28900.9,28262.6,27096,28446.2,28868.1,28719.6,29052.2,665867.9
25/12/2020,24552.9,25249.8,25039.4,,25685.3,25494.5,25309.3,25564,26095.9,31846.6,31382.2,30975.7,30728.2,30864,30578.2,30623.9,31134.7,31010.3,30177.5,29436.8,28897.3,25784.9,25867,25397.9,23680.7,671377
24/12/2020,24453.3,25432.4,25563.9,,25578.1,25902.6,26004.8,26191.3,25745.2,27798.6,28193.5,28142.1,28094.4,27836.7,27687.9,28117.6,27734.1,27391.7,27734.8,27042.8,27121.1,26159.9,26303.3,25497.1,25511.1,641238.3
23/12/2020,20973.5,21795.8,21840.1,,21654.3,22016,21983.8,23143.2,23921.7,25116.8,25647.8,25958.9,25869.2,25578.4,24949.8,25017.9,24927.3,25514.6,25886.3,24878.6,25228.8,24236.4,23794.9,23407.1,23379.6,576720.8
22/12/2020,27061,28586.9,29050.8,,28996.6,28472.1,26770.4,27046.7,26406.8,27957.9,28284.5,29358.1,28607.1,27975.4,27647,27255.2,27194,28165.2,28953.9,28923.3,28369.9,26523.5,25274.7,23734.5,22802,659417.5
21/12/2020,23442.4,24270.3,24401.4,,24931.2,24591.8,23500.2,23745.1,25802.9,28011.5,27829.7,27924.1,28255.8,28895.5,28770.8,29153.9,28624.7,28224.3,27069.7,27044.3,27165.9,27003,26390.1,25447.4,25838.5,636334.5
20/12/2020,22515,23716.7,23786,,24555.8,25212.2,25133.6,24213.9,22692.9,21911.4,22264.4,23229.1,24936.1,25344.1,24345.3,24339.4,24114.5,24155.9,23299.4,23219.5,23155,21792.7,21350.4,20825.5,20251.8,560360.6
19/12/2020,22734,23116.9,23870.7,,25384.7,25707.7,25458.8,25870.5,25406.2,24409.4,23912.2,25227.3,25305.1,25189.9,25362.8,25414.6,24322.8,24139.9,25192.4,25006.2,24068,23938.7,24323.3,22918.5,21515.7,587796.3
18/12/2020,20240.1,21430.2,21570.2,,22063.1,22180.4,21544,22301.2,24268.3,24809.2,24673.3,24935.2,25188.9,25167,25189.8,24986.4,25303.7,25639.7,26000.9,26097.2,25198.8,22649.3,21458.3,21732.5,22292.5,566920.2
17/12/2020,19893.1,20300,20665.7,,21089.9,20859.3,19790.1,21642.1,22859.3,22403.8,22513,23312.8,24101.3,23844.8,23811.6,23866.3,23497,25225.1,25242,25366.3,24369.1,23053.1,21546.9,19899.1,19077.5,538229.2
16/12/2020,20073.8,20967.8,21001.5,,21894.2,23038.8,22410.5,22740,24727.8,24517.1,24594.8,24521.9,24834.8,24881.4,24427.2,24333.4,23978.7,25207.4,24868.6,24160.1,23657.3,23462,22619.7,20833.4,19812.5,557564.7
15/12/2020,18774.6,19651,20119.4,,19815.8,19227.9,18532.9,19785.7,22000.8,21420.8,21178.5,21609.3,22131.9,21775.6,22182.3,22125.1,22403.1,23597.1,23466.8,23262.6,22421.3,21982.2,20254.2,18660,18243.1,504622
14/12/2020,21817.2,22747.9,24623.2,,26046.9,26599.5,24401.1,21762.9,24990.9,26124.2,26077.6,26606.1,27128.7,27145.3,26884.2,26703.6,26694.5,28045.1,28427.4,27526.2,26869.4,25003.7,23317,22340.8,22073.5,609956.9
13/12/2020,20379.2,21822.8,22350.8,,22104.5,22215.9,22581.4,23339.8,22589.8,21204.5,21472.8,22415.4,24188.2,24146.3,23673.9,23054.4,23484,23791.8,24289.9,24135.6,23086,21562,20738.4,20618.6,20435.1,539681.1
12/12/2020,20846.8,22381.3,23354.6,,23324,22874,22405.4,22959.6,21697.6,19847.2,20456.9,21658.7,22613.4,22809.6,22695.7,22324,22080.2,22560.3,23904,23563.3,22686.9,20963.4,20026.3,19591.8,19751,527376
11/12/2020,19584.2,19157.5,18562.2,,19202.9,19526,19011,19429.7,23420.4,23344.1,22961.8,23389.3,23410.5,23055.4,22662.8,22637.1,22259.4,23209,23653.7,23064,22961,21012,19677.5,19384.5,19500.6,514076.6
10/12/2020,19292.8,20288.1,20416.5,,20131.4,20047.6,20026,20524.6,23753.4,22717.6,22587.4,23509.9,24287.4,24388,24258.3,23879,22930.5,23480.1,24556.4,24549.7,23575.9,23650,21629.8,20910.1,19676.9,535067.4
09/12/2020,20876.4,22383.9,22656.4,,22227.1,21624.4,20571.8,20286,23020.1,22689.2,23063.1,23406.6,24300.3,24481.7,24183.3,24324.3,24197.5,23841,24144.6,23052.6,22036.9,23517.1,21469.8,21079.5,19720,543153.6
08/12/2020,19301.1,20406.4,21108.3,,20725.2,21144.5,19519,19279.6,22830.7,22805.5,23327.5,23384,23957.3,24174.9,23645.5,23139.5,22867.1,24178.2,24708.4,23968.9,21775.1,22293,20472.8,20055.3,19546.5,528614.3
07/12/2020,24170.4,25284.3,25960.8,,26534.5,26067.1,26056.7,25969.4,27810.1,26035.9,26435.5,26965.3,26972.4,26984.1,25992.3,24725.6,23979.6,24663,25748.2,25245.6,24753.5,24620.1,22586.2,21449.6,21334.3,606344.5
