# 06/10/2019 12:57:34 PM : Prices - EPEX Spot market auction - Austria
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Volume Weighted Average,Middle Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Off-Peak,Morning,High Noon,Afternoon,Evening,Sun Peak
07/10/2019,28.99,27.07,27.00,,28.19,27.26,30.23,50.89,56.49,59.86,56.51,53.08,51.75,49.91,48.80,47.57,48.04,48.78,51.50,54.91,61.76,53.38,43.69,40.12,33.07,27.00,61.76,43.78,27.81,41.22,55.30,48.58,54.24,42.57,44.95,52.71,28.12,34.52,51.94,37.20,55.94,50.89,48.97,47.82,49.86
06/10/2019,34.22,28.94,27.43,,28.99,27.00,27.08,27.10,28.97,28.33,32.96,34.02,35.89,34.10,30.51,28.48,29.00,28.92,32.99,38.09,43.35,38.41,34.93,35.36,34.06,27.00,43.35,32.14,29.90,27.54,32.80,30.52,35.84,35.69,32.05,33.05,28.94,28.72,31.66,31.04,29.34,33.63,29.85,37.37,32.00
05/10/2019,33.55,32.28,29.28,,28.24,27.45,28.46,29.30,31.51,37.03,43.09,39.96,38.65,38.05,36.51,35.24,35.89,38.05,43.59,48.11,52.09,49.75,41.00,40.00,35.90,27.45,52.09,36.19,30.84,29.18,39.68,36.42,45.46,41.66,37.21,40.52,29.88,30.01,38.05,33.89,35.23,38.29,38.19,44.48,37.38
04/10/2019,37.49,35.12,34.01,,34.03,34.06,34.64,43.80,48.79,50.06,50.04,48.87,48.90,49.68,47.91,45.57,48.26,50.10,50.09,50.27,53.52,49.22,40.50,35.87,36.14,34.01,53.52,44.03,35.16,40.32,49.47,47.86,51.00,40.43,44.04,49.44,34.89,37.74,48.66,38.64,48.17,48.84,48.51,44.25,48.20
03/10/2019,26.32,26.41,25.30,,25.35,26.43,29.31,35.32,47.28,50.01,49.52,48.00,47.62,43.17,38.10,36.74,36.86,40.40,47.93,51.23,55.06,53.53,48.06,45.59,35.93,25.30,55.06,38.98,25.85,34.59,48.79,38.72,48.66,45.78,40.39,45.39,26.52,30.22,43.75,35.40,45.53,44.22,40.48,48.23,41.75
02/10/2019,33.49,32.26,33.01,,33.06,34.06,36.46,49.64,52.95,52.66,51.75,50.00,48.66,43.78,38.15,37.07,37.03,36.01,40.51,48.01,51.61,49.19,41.88,37.08,33.36,32.26,52.95,40.94,32.96,43.28,50.77,39.01,44.04,40.38,41.74,44.60,33.72,38.12,44.89,38.87,51.75,45.15,37.66,43.52,42.45
01/10/2019,33.09,31.83,30.50,,30.20,30.57,33.01,47.54,50.98,51.06,49.63,46.86,44.92,42.17,41.04,39.49,39.38,42.88,48.60,50.16,54.99,52.92,50.02,45.06,35.57,30.20,54.99,41.11,31.41,40.53,48.12,40.52,49.16,45.89,42.60,45.93,31.53,35.97,44.32,39.27,49.80,43.75,42.59,48.12,42.31
30/09/2019,29.40,28.06,29.37,,27.21,28.02,30.04,43.92,46.55,46.92,44.00,43.92,37.56,43.97,43.93,43.90,43.93,43.92,43.94,50.66,64.37,57.34,49.27,44.58,34.60,27.21,64.37,40.44,28.51,37.13,43.10,43.93,50.72,46.45,41.64,45.92,28.68,32.82,43.52,37.36,45.35,42.35,43.92,50.14,42.87
29/09/2019,25.05,25.09,24.10,,14.38,14.39,13.08,20.06,22.43,22.73,25.04,20.04,24.00,25.02,17.09,-6.78,-5.87,2.57,30.02,30.01,28.90,26.91,25.01,30.06,25.09,-6.78,30.06,19.66,22.16,17.49,22.95,7.37,22.88,26.77,19.93,17.73,19.35,19.82,15.16,22.14,22.57,21.54,4.99,27.66,12.25
28/09/2019,26.50,24.73,23.13,,23.02,23.56,23.57,26.06,27.46,33.20,34.58,31.10,36.71,26.09,23.57,23.58,25.09,26.09,32.28,38.19,43.69,37.85,32.07,33.87,24.55,23.02,43.69,28.60,24.35,25.16,33.90,24.58,35.06,32.09,29.19,31.18,24.09,24.75,29.24,27.20,30.33,29.37,26.76,35.04,27.69
