# 06/10/2019 12:57:34 PM : Volumes - EPEX Spot Market Auction - Austria
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Day Volume
07/10/2019,3921.6,3779.3,3654.4,,3672.9,3667.5,3892.2,3209.2,2895.2,2812.7,2618.1,2994.7,3295.7,3736.4,3816.5,3768.9,3771.7,3401.3,2896.9,2987.6,2820.8,3159.6,3515.2,3943.0,4720.9,82952.3
06/10/2019,2627.8,2990.4,2918.7,,2923.2,2956.0,2923.3,3209.0,2718.8,2805.4,3013.0,2938.5,2896.2,2906.1,3633.7,3690.8,3708.0,3934.6,3799.7,3318.7,3793.1,3291.5,3177.4,3322.0,3277.6,76773.5
05/10/2019,4139.7,4305.8,4572.1,,4525.5,4438.8,4647.4,4560.3,4504.2,3358.2,2995.4,3146.2,3384.0,3143.7,3197.9,2793.0,2545.9,2297.8,2070.7,2688.8,3949.6,2952.0,2433.3,2567.1,2155.9,81373.3
04/10/2019,2067.2,2127.3,2809.6,,2530.7,2468.3,2551.9,2631.2,2380.0,2246.6,2269.5,2631.2,2651.6,2744.7,2956.7,3082.9,2741.9,2450.5,2415.8,2300.0,2202.3,2133.8,2392.8,2485.9,2461.8,59734.2
03/10/2019,4629.6,4410.2,4238.0,,4431.6,4539.7,4989.5,3838.4,3512.9,3047.8,3180.6,3396.1,4020.9,4423.0,4128.8,4170.6,3907.1,3520.7,2778.1,2755.8,3137.8,3046.8,2819.7,2640.3,2774.4,88338.4
02/10/2019,4032.8,4340.1,4197.3,,3987.7,3274.5,3537.6,3212.6,3186.5,2973.8,3028.4,3451.1,4073.7,4458.1,4524.2,4608.6,4630.3,4835.9,4074.6,3266.2,2556.5,2931.4,3067.2,3385.9,3780.4,89415.4
01/10/2019,3456.8,3841.3,3970.0,,4054.5,3956.0,4017.3,2855.8,2489.2,2035.4,2167.3,2147.7,2646.0,3112.0,2892.1,3082.3,3366.4,3381.6,2443.6,2045.4,3164.2,2748.0,2198.3,2330.0,3720.4,72121.6
30/09/2019,4057.5,4217.5,4121.9,,4260.6,4378.8,4232.1,4103.3,3839.8,3442.4,3666.7,4136.6,4519.8,4310.6,4437.9,4469.9,4428.9,4231.7,4127.8,2723.6,2189.8,2316.6,2253.2,2966.5,3256.5,90690.0
29/09/2019,4595.3,4387.4,4746.4,,5045.6,4645.8,4540.6,4677.4,4513.6,4366.2,4386.7,4786.7,4658.2,4607.2,4929.9,4771.7,4742.6,4971.8,4432.5,4538.0,4115.2,4372.0,4461.8,4450.4,4642.7,110385.7
28/09/2019,3792.7,4378.9,4670.4,,4774.3,4159.2,4236.2,4268.5,3919.6,3537.3,3816.2,4147.4,4214.5,4251.9,4274.6,4226.7,4315.3,4253.9,4002.0,3186.8,2679.9,3102.1,3657.0,3602.0,3920.7,95388.1
27/09/2019,4561.2,4610.3,4876.2,,4654.0,4135.7,4294.9,3220.7,2452.3,2227.6,2129.5,2111.3,2689.8,3560.1,3602.2,3793.3,3770.1,3799.6,2658.6,2572.6,2739.4,3215.5,4380.3,4730.2,4532.8,85318.2
26/09/2019,3196.3,3655.2,3602.6,,3655.0,3551.0,3037.4,2851.8,2322.5,2355.7,2160.7,2179.9,2499.4,3146.6,3231.4,3479.1,3531.9,3534.5,3166.2,3183.1,3485.4,2888.4,3371.8,3970.6,4480.8,76537.3
25/09/2019,3793.3,4301.1,4015.4,,3280.2,2767.9,2663.1,2248.4,2165.8,2145.9,2117.6,2762.4,2576.6,2793.6,2711.5,2683.2,2689.2,2843.1,2898.7,1945.2,1947.0,1883.2,2078.3,2771.3,3686.3,65768.3
24/09/2019,3053.9,3462.2,3381.6,,3272.7,3047.9,3161.0,2026.9,1931.0,1851.2,1967.7,2013.1,2405.9,2829.0,3512.0,3449.9,3082.0,2746.8,2154.7,1945.0,2102.5,2104.0,3610.1,3884.3,3884.7,66880.1
23/09/2019,4508.0,4488.2,4433.1,,4427.1,4114.4,4617.3,4527.7,3951.2,3143.5,3149.7,3614.1,3287.3,3403.6,3405.3,3417.1,3016.7,2694.6,2371.3,2118.6,2160.0,2497.5,2929.9,3448.6,2976.6,82701.4
22/09/2019,4541.0,4632.1,4526.7,,4461.8,4278.3,4129.2,4181.6,4210.4,4500.1,4246.7,4268.5,4262.7,4002.4,3999.6,3998.8,4146.0,4146.9,3678.1,3216.3,3031.0,3102.0,4173.8,4860.0,4666.0,99260.0
21/09/2019,4003.4,4677.2,4764.6,,4814.0,4765.2,4369.7,3548.8,3125.4,3122.9,3279.6,3562.0,3619.5,3866.7,4094.1,4189.5,4105.0,3783.3,2855.3,2330.2,2194.4,2437.3,3603.8,3780.6,4466.5,89359.0
20/09/2019,3419.0,3685.1,3617.0,,3376.7,3515.4,3215.8,3163.7,2202.6,2070.5,2099.4,3241.2,3440.2,3740.0,3611.6,3751.9,3660.8,3455.6,3324.8,2141.7,2443.4,1975.8,3055.5,2906.2,4146.0,75259.9
19/09/2019,4503.6,4850.0,5013.6,,5162.7,5210.1,5085.8,3544.8,2815.8,2558.4,2828.0,3325.5,3661.7,3679.0,4207.8,4270.0,4459.0,3606.0,3191.8,2502.3,2657.2,2595.8,2479.9,3110.2,3374.6,88693.6
18/09/2019,4845.2,4745.4,4639.2,,4546.1,4658.4,4703.0,3050.6,2483.7,2198.0,2822.4,3633.3,4077.8,3929.9,3821.8,3953.7,3992.6,4132.1,3930.0,3100.0,2720.8,2818.6,2815.9,3324.0,3317.5,88260.0
17/09/2019,3333.2,4269.3,4353.7,,4301.4,4208.2,3891.5,3207.4,3030.1,2616.0,3125.0,3965.1,4176.9,4382.5,4642.2,4178.9,4132.0,4048.0,4199.1,3746.4,3426.7,3224.9,3148.5,3218.5,3825.3,90650.8
16/09/2019,3938.0,3988.4,4056.4,,4351.0,4683.0,3934.8,2774.0,2862.6,2337.2,2365.5,2608.6,2905.2,3014.0,3064.6,3071.7,3253.1,3319.3,2832.7,2595.9,2521.0,2815.9,2836.8,3077.1,3532.4,76739.2
15/09/2019,2278.0,3356.8,3935.2,,4135.9,4218.7,4316.1,4087.5,4668.7,4506.6,4379.3,4276.5,4199.9,3880.4,3866.1,3843.1,4219.3,4010.6,3845.6,4082.0,4517.4,3898.3,3809.2,3551.4,3536.0,95418.6
14/09/2019,2253.3,2410.3,2646.3,,2409.1,2565.5,2395.8,2540.0,2411.5,2297.5,2406.9,2415.7,3108.8,2962.2,3667.5,4027.4,3989.6,3322.2,2161.0,2667.4,3750.5,3727.7,3215.8,1943.6,2344.6,67640.2
13/09/2019,3237.9,3471.9,3324.4,,3686.9,3440.6,3535.3,2847.4,2616.6,2459.5,2044.9,2824.4,2785.7,2951.3,3536.8,3507.4,3217.3,3151.7,2532.7,2938.3,3191.9,3409.4,2825.0,2778.6,2272.2,72588.1
12/09/2019,2727.1,2440.4,2320.6,,2286.3,2326.2,2002.9,3005.8,3017.2,2503.5,2575.0,2097.3,2204.8,2731.0,2899.4,3058.0,3082.7,2881.2,2735.5,2285.6,2660.4,2935.1,1975.4,2044.5,2001.3,60797.2
11/09/2019,1712.3,1820.8,2198.7,,2147.8,1912.6,1949.6,2071.4,2114.7,2015.8,2544.9,2632.7,2851.4,3436.3,3694.7,3862.2,3905.2,3757.3,2599.6,2204.9,2356.9,1950.9,2003.9,1900.6,1994.0,59639.2
10/09/2019,1816.6,1815.9,2169.7,,2120.3,2198.6,2272.2,2120.1,2247.1,1967.9,2390.3,2737.3,3477.4,3710.2,3496.8,3871.2,3913.5,2727.8,2195.3,2067.5,2740.5,3437.9,1733.0,1964.6,2479.1,61670.8
09/09/2019,2148.1,2251.0,1976.3,,1885.3,1564.7,1634.9,2252.7,3182.9,3004.3,2731.1,2141.0,1977.0,2150.1,2215.1,2162.6,2189.0,2278.3,2163.4,2989.2,3333.5,3548.5,2169.7,2316.2,2379.3,56644.2
08/09/2019,2130.9,2047.2,1996.7,,2157.2,2192.8,1901.9,1796.2,1910.2,1727.2,1848.0,2072.9,2430.6,2106.0,2209.8,2225.6,2119.5,2214.2,2263.4,2360.0,2765.6,3573.7,1952.9,2127.2,2201.0,52330.7
07/09/2019,2678.3,2696.5,2589.2,,2494.5,2365.1,2399.7,1954.4,2140.5,2246.0,2270.7,2535.0,2717.0,3005.6,3144.7,3157.6,3011.1,2757.2,2459.0,2576.4,3067.5,3184.7,2176.4,2206.7,2291.3,62125.1
06/09/2019,2216.4,2518.0,2807.3,,2756.2,2609.3,2416.9,2186.6,2406.9,1945.5,2179.7,2445.7,3305.6,3467.3,3523.3,3569.6,3308.5,3302.1,3001.9,2616.1,2168.8,2197.3,2034.8,1819.0,2044.5,62847.3
