# 30/01/2015 12:53:40 PM : Prices - EPEX Spot market auction - France
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Maximum,Minimum,Volume Weighted Average,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
31/01/2015,48.98,41.15,39.69,,33.11,29.75,33.30,37.42,38.92,44.29,47.57,48.19,47.00,48.94,47.25,40.55,37.27,37.19,42.99,50.96,48.93,43.35,37.54,40.36,43.17,50.96,0.00,42.12,40.73,34.85,46.76,43.50,45.02,41.11,41.99,45.09,37.66,37.79,45.13,38.90,42.05,47.85,39.50,44.05,44.87
30/01/2015,33.02,28.06,26.42,,24.74,23.89,26.07,38.30,48.76,49.19,49.02,49.51,48.43,47.45,44.95,43.24,43.71,44.00,46.69,50.00,52.01,49.00,42.94,45.48,45.51,52.01,0.00,42.21,28.06,34.26,49.04,44.84,48.18,45.73,41.68,47.35,27.03,31.16,46.94,36.02,46.32,47.59,44.41,47.49,46.22
29/01/2015,45.28,42.67,42.05,,41.23,38.48,40.00,44.52,49.69,57.64,59.82,61.44,56.01,50.56,51.03,54.25,52.73,50.49,61.46,67.67,58.38,47.87,39.90,36.07,41.10,67.67,0.00,50.15,42.81,43.17,58.73,52.14,59.50,41.24,49.60,56.79,41.62,42.99,55.44,42.41,52.92,54.76,54.73,48.50,54.34
28/01/2015,42.74,40.38,39.26,,36.71,30.80,29.76,42.07,48.45,52.15,52.15,51.59,51.59,49.83,48.41,44.39,40.00,40.22,44.42,51.00,50.37,52.59,49.35,49.13,45.94,52.59,0.00,45.28,39.77,37.77,51.87,45.66,46.50,49.25,45.14,48.01,36.61,38.77,48.76,42.27,48.71,50.36,42.26,49.73,47.64
27/01/2015,41.64,40.40,41.10,,38.05,33.68,39.03,45.21,51.76,54.61,55.13,55.07,52.91,49.25,49.49,49.48,46.97,45.36,52.62,63.29,60.17,52.02,47.93,47.20,45.14,63.29,0.00,48.57,40.30,42.42,54.43,48.80,55.36,48.07,48.23,52.86,38.98,41.36,51.61,43.60,51.68,51.68,48.61,52.63,50.53
26/01/2015,40.84,38.00,35.09,,32.00,30.10,36.99,45.10,55.16,56.16,55.55,53.63,53.79,51.47,51.87,52.85,49.69,45.46,50.06,58.85,54.94,48.50,43.84,44.00,47.41,58.85,0.00,48.07,36.48,41.84,54.78,51.47,52.33,45.94,47.14,52.86,35.50,39.16,53.13,41.42,52.99,52.69,49.52,49.59,52.22
25/01/2015,44.63,39.87,39.02,,33.81,29.83,28.64,31.23,35.11,39.01,41.10,41.75,41.77,43.17,40.44,38.50,34.82,35.90,40.50,51.43,51.81,48.83,44.19,45.46,45.17,51.81,0.00,40.27,39.33,31.20,40.91,39.23,44.91,45.91,40.25,41.68,35.97,35.27,40.07,38.82,36.61,41.78,37.43,47.82,40.08
24/01/2015,44.01,43.12,40.68,,36.10,35.00,35.00,39.10,41.35,42.58,46.67,45.45,46.87,45.92,41.34,38.53,35.85,34.52,40.46,50.75,51.40,47.26,42.11,47.16,45.95,51.40,0.00,42.41,40.98,37.61,45.39,40.41,44.28,45.62,42.38,43.36,38.99,39.30,42.90,41.40,42.43,44.90,37.34,47.44,42.33
23/01/2015,42.34,42.10,39.40,,38.00,35.00,38.00,43.60,54.96,60.72,61.62,61.48,56.60,52.90,50.14,46.58,44.09,45.18,49.98,57.24,55.82,49.48,44.28,46.25,46.29,61.62,0.00,48.98,40.46,42.89,60.11,48.43,52.06,46.58,48.42,53.53,39.14,41.68,54.27,43.31,55.23,55.28,46.46,49.89,51.97
22/01/2015,43.57,42.24,39.50,,35.51,35.31,41.55,45.48,53.41,59.66,61.57,63.27,61.45,55.35,54.01,51.54,49.99,51.99,59.20,64.56,64.57,56.50,48.15,49.41,48.00,64.57,0.00,52.05,40.21,43.94,61.49,52.72,60.08,50.52,51.49,58.10,39.61,42.07,57.11,44.89,55.03,58.52,53.18,55.20,55.94
21/01/2015,44.80,44.15,44.15,,38.99,37.68,39.52,44.78,54.12,58.39,61.72,61.34,62.08,55.73,52.60,48.00,50.00,51.02,55.47,59.82,57.66,50.25,45.00,42.00,43.96,62.08,0.00,50.81,43.02,44.03,60.88,51.58,55.99,45.30,50.13,56.15,41.55,43.52,56.23,44.12,54.75,57.94,51.12,49.78,54.96
20/01/2015,43.02,41.33,42.02,,36.28,33.41,38.71,44.67,53.39,58.88,58.80,57.34,57.46,53.53,52.93,52.38,52.10,51.04,58.55,66.65,56.02,50.09,42.73,46.75,45.53,66.65,0.00,50.34,40.66,42.55,58.12,52.74,58.07,46.28,49.73,56.31,39.13,41.60,55.43,43.16,53.94,55.32,53.52,51.30,54.29
19/01/2015,38.24,34.90,33.04,,29.53,28.07,31.17,42.87,52.07,56.49,52.38,52.34,50.68,49.31,48.84,47.72,47.43,48.19,52.16,64.70,54.91,51.04,44.36,49.50,49.86,64.70,0.00,46.86,33.93,38.55,52.97,48.33,54.99,48.69,46.24,52.10,32.49,36.24,50.65,40.39,50.95,50.29,48.88,52.40,49.39
18/01/2015,36.24,33.80,28.75,,27.57,24.34,25.68,28.79,31.41,33.00,37.23,39.07,42.44,43.33,38.25,33.88,29.91,30.44,38.42,48.95,51.02,50.62,42.44,44.94,42.51,51.02,0.00,37.00,31.59,27.56,37.94,36.34,42.21,45.13,36.79,38.83,29.40,29.57,37.14,34.76,32.61,40.77,33.16,46.75,37.81
17/01/2015,36.54,33.17,32.26,,27.92,27.05,27.24,27.41,33.17,41.99,47.44,46.57,43.39,43.00,38.08,34.50,31.27,33.84,42.44,45.84,46.43,39.96,32.60,37.78,37.78,47.44,0.00,37.15,32.47,28.72,44.85,36.71,42.14,37.03,36.99,41.23,30.70,30.60,40.78,32.74,37.50,42.76,35.51,40.07,39.47
16/01/2015,35.95,30.86,29.47,,24.74,22.95,29.58,39.73,49.49,50.71,48.98,50.54,49.76,48.43,46.17,44.99,44.05,47.10,52.49,53.54,48.02,41.51,37.92,40.64,43.18,53.54,0.00,43.00,30.26,35.44,50.00,45.91,50.29,40.81,42.12,48.73,28.93,32.85,47.95,35.50,47.23,48.73,47.16,44.14,47.32
15/01/2015,30.44,24.91,22.67,,16.87,15.43,16.05,32.33,48.62,49.01,47.58,45.94,46.54,45.46,42.94,38.18,35.54,35.68,41.66,50.45,49.47,42.98,35.42,35.49,34.75,50.45,0.00,38.03,23.72,28.11,47.27,40.53,44.32,37.16,36.85,44.04,21.06,25.92,43.90,29.66,44.39,45.22,37.77,41.43,42.43
14/01/2015,34.58,29.67,27.49,,21.30,15.59,18.90,34.78,48.00,47.79,48.14,45.50,45.03,45.50,40.81,42.04,38.94,41.15,48.93,50.99,50.94,44.99,38.62,39.54,38.92,50.99,0.00,39.48,28.26,29.32,46.62,41.82,48.00,40.52,39.09,45.48,24.59,28.79,44.22,32.70,44.68,44.21,42.77,44.00,42.97
13/01/2015,33.04,26.56,26.29,,17.44,11.26,22.29,33.78,44.94,49.04,49.64,48.10,46.95,46.04,43.38,36.48,33.05,34.13,43.03,49.22,46.38,42.44,33.36,33.97,31.39,49.64,0.00,37.94,25.83,28.07,48.43,39.74,43.19,35.29,36.76,43.79,22.81,26.95,44.09,29.73,44.35,46.12,36.67,39.46,42.33
12/01/2015,27.59,26.81,25.75,,17.86,15.16,19.84,33.98,45.51,48.06,46.20,45.00,45.38,42.49,41.53,36.31,32.37,33.53,41.31,47.89,48.42,41.89,35.24,37.44,35.00,48.42,0.00,37.09,24.50,28.62,46.16,38.18,42.79,37.39,36.27,42.37,22.17,26.56,42.17,30.17,43.44,43.60,35.88,40.98,40.51
11/01/2015,26.95,24.22,27.08,,20.91,13.09,16.41,18.72,17.21,21.20,25.96,28.83,30.73,31.80,30.37,23.39,12.70,18.49,25.81,35.48,42.00,36.08,31.80,33.00,32.19,42.00,0.00,26.13,24.79,16.36,26.68,24.57,30.45,33.27,26.02,27.23,21.44,20.57,25.62,24.81,20.77,30.43,20.10,35.09,26.30
10/01/2015,19.04,15.96,13.70,,11.01,9.08,9.28,11.76,15.84,16.93,18.11,19.19,19.25,20.47,18.21,16.21,11.34,14.15,18.64,24.45,27.75,24.56,18.75,25.81,27.67,27.75,0.00,17.68,14.93,11.49,18.37,16.56,21.25,24.20,17.80,18.73,13.01,13.21,17.46,16.87,15.66,19.28,15.09,24.83,17.45
09/01/2015,32.06,29.71,28.53,,23.75,16.05,21.44,31.86,44.00,45.82,45.59,42.52,41.57,41.01,39.24,36.29,29.47,30.09,35.43,41.00,38.95,32.53,26.69,26.56,25.26,45.82,0.00,34.41,28.51,28.34,43.88,36.50,36.37,27.76,33.56,38.92,25.26,28.43,40.19,28.20,41.82,41.09,32.82,31.83,38.35
08/01/2015,43.88,35.65,35.87,,30.17,24.54,32.00,40.96,49.53,48.07,48.75,49.29,49.33,48.43,47.21,43.47,38.27,41.07,47.97,51.25,50.31,47.97,40.50,43.80,44.05,51.25,0.00,43.86,36.39,36.76,48.86,44.35,47.65,44.08,43.01,46.95,33.69,36.58,46.60,39.08,46.83,48.57,42.70,46.31,46.00
07/01/2015,40.00,36.69,37.45,,32.08,29.48,34.94,41.74,49.17,54.44,50.99,50.00,51.22,50.15,51.46,50.88,48.00,47.14,51.07,52.46,48.78,47.45,42.02,45.57,45.60,54.44,0.00,46.23,36.56,38.83,51.66,50.12,49.86,45.16,45.37,50.55,35.11,37.69,50.89,40.18,49.09,50.71,49.27,46.98,50.29
