# 30/01/2015 12:53:43 PM : Volumes - EPEX Spot Market Auction - France
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Daily Volume
31/01/2015,10893.1,11055.3,10853.4,,10722.4,10651.6,10494.2,10489.7,10851.2,10806.2,11021.0,11002.8,11067.4,11105.9,10989.4,10694.9,10215.0,10293.5,10647.5,11708.3,11740.3,11860.2,11268.5,11390.3,11674.6,263496.7
30/01/2015,12073.9,12353.9,12014.4,,13051.7,13853.4,11706.3,11923.4,13090.0,15286.9,14966.0,15582.2,15426.7,15089.8,15003.6,14731.1,15627.0,16039.8,15219.4,15466.7,14950.3,12020.1,11894.1,11930.0,11317.7,330618.4
29/01/2015,10978.6,11746.7,11772.8,,11595.9,11684.5,11892.7,12355.3,13330.2,14676.3,14362.6,14351.6,14129.6,14176.4,14144.5,14296.5,14837.5,15027.4,14031.0,14325.6,14338.5,13064.4,13130.4,13408.0,12768.0,320425.0
28/01/2015,10352.9,10657.2,10890.6,,11589.3,11741.8,11260.8,11416.9,12343.0,12661.0,12458.7,12507.0,12103.7,12438.2,12706.7,12999.4,13033.8,13445.3,13868.4,12829.5,12490.8,11777.8,11639.2,11640.5,11650.1,290502.6
27/01/2015,9790.6,9573.5,9919.7,,10337.6,10299.6,10044.3,10594.5,10564.8,12200.4,12049.5,11922.2,11362.7,11113.1,10995.0,11537.9,12343.2,12503.2,12828.7,11718.2,11147.5,10199.5,10678.7,10400.9,10114.9,264240.2
26/01/2015,8563.6,8585.5,8608.9,,8946.5,9211.1,9332.4,10248.7,11065.6,13036.1,12961.6,12612.6,12001.7,11021.3,11402.2,11866.5,12680.7,12906.9,13087.8,12847.5,12655.4,10716.5,11042.2,10712.5,10246.9,266360.7
25/01/2015,13441.4,12991.1,13157.5,,13056.5,13316.7,13461.0,13219.4,13420.8,13417.4,13254.1,13151.4,12874.3,12769.1,12103.3,12662.5,13614.4,13931.8,14111.6,13674.8,13606.9,13543.6,14030.9,13389.7,12873.0,319073.2
24/01/2015,13454.3,13929.9,13956.7,,14045.0,13733.3,14051.7,14509.0,15302.9,14691.6,14610.5,14698.7,14219.1,13574.3,12920.4,13789.9,14323.0,14506.1,14835.5,14533.0,14419.6,14697.1,14859.0,14176.4,13880.1,341717.1
23/01/2015,10856.7,10447.3,10702.0,,10756.6,10899.8,10675.7,11828.1,12127.4,14136.0,13614.4,12653.0,13050.4,13633.3,13462.7,13123.5,12500.5,12529.9,12484.1,13303.1,13735.1,11563.6,12231.9,11641.3,11822.0,293778.4
22/01/2015,11786.9,11632.0,11698.6,,12200.5,12245.8,12560.2,12280.0,13078.8,15501.5,14800.6,14571.1,14241.9,13498.8,13280.6,14269.4,14211.5,14018.3,13931.9,14312.5,13751.2,11301.8,12265.0,12352.2,11935.9,315727.0
