# 06/10/2019 12:57:23 PM : Prices - EPEX Spot market auction - Germany/Luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Volume Weighted Average,Middle Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Off-Peak,Morning,High Noon,Afternoon,Evening,Sun Peak
07/10/2019,28.99,27.07,27.00,,27.99,27.06,30.23,50.62,56.49,59.86,56.51,53.08,51.75,49.91,48.80,47.57,48.04,48.78,51.50,54.91,61.76,52.00,43.46,39.18,28.44,27.00,61.76,45.22,27.76,41.10,55.30,48.58,54.24,40.77,44.63,52.71,28.06,34.43,51.94,36.54,55.87,50.89,48.97,46.63,49.86
06/10/2019,34.22,28.94,27.43,,28.99,27.00,27.08,27.10,28.97,28.22,32.83,33.93,35.87,33.96,30.20,28.03,29.00,28.92,32.99,38.09,43.35,38.41,34.93,35.36,34.06,27.00,43.35,32.03,29.90,27.54,32.71,30.30,35.84,35.69,32.00,32.95,28.94,28.72,31.51,31.04,29.28,33.49,29.74,37.37,31.83
05/10/2019,28.30,32.17,29.28,,28.24,27.33,28.39,29.30,31.51,37.03,42.95,39.96,37.70,37.18,36.51,35.24,35.89,38.05,43.59,48.11,52.09,49.75,41.00,40.00,35.90,27.33,52.09,36.35,29.50,29.13,39.41,36.21,45.46,41.66,36.89,40.36,28.95,29.32,37.81,33.43,35.20,37.84,38.19,44.48,37.08
04/10/2019,37.49,34.96,33.79,,32.90,32.59,33.50,43.33,48.77,50.06,49.87,48.71,48.72,49.41,47.78,45.35,47.93,49.49,50.05,50.27,53.52,49.22,40.50,35.87,34.35,32.59,53.52,43.77,34.79,39.55,49.34,47.62,50.83,39.99,43.68,49.26,34.21,37.17,48.48,38.11,48.01,48.66,48.21,43.96,47.98
03/10/2019,26.21,26.41,25.30,,25.35,26.43,29.31,35.32,42.98,49.92,47.89,46.80,47.61,42.93,37.82,36.74,36.86,40.40,47.93,51.23,55.06,53.53,48.06,45.59,35.93,25.30,55.06,40.42,25.82,33.51,48.06,38.59,48.66,45.78,40.07,45.10,26.50,29.66,43.32,35.04,44.03,43.79,40.48,48.23,41.46
02/10/2019,33.49,31.92,32.39,,32.03,32.95,35.10,48.61,52.79,52.63,51.75,50.00,48.04,41.40,36.58,35.22,34.92,35.17,40.49,48.01,51.61,48.47,40.21,35.05,31.80,31.80,52.79,41.06,32.46,42.36,50.61,37.03,43.82,38.88,40.86,43.82,32.98,37.41,43.82,37.90,51.45,44.01,36.45,42.53,41.03
01/10/2019,33.09,31.58,30.04,,30.20,30.13,33.01,47.47,50.98,51.05,49.63,46.86,44.92,42.17,41.04,39.49,39.38,42.88,48.60,50.16,54.99,52.92,50.02,45.06,35.53,30.04,54.99,42.65,31.23,40.40,48.12,40.52,49.16,45.88,42.55,45.93,31.34,35.81,44.32,39.17,49.78,43.75,42.59,48.11,42.31
30/09/2019,5.07,-3.93,-24.32,,-37.29,-32.38,-0.49,29.90,45.33,40.33,29.21,28.21,25.41,11.82,12.99,6.90,25.32,26.62,41.39,50.18,64.37,57.34,49.27,44.58,34.60,-37.29,64.37,20.07,-15.12,10.59,30.79,14.26,45.64,46.45,22.10,30.23,-15.56,-2.26,22.52,13.97,36.19,19.61,25.06,50.06,18.44
29/09/2019,-2.97,1.19,12.79,,13.15,13.96,13.08,18.11,22.43,22.48,23.49,18.13,18.02,7.22,-0.33,-12.77,-10.92,-0.47,6.83,16.58,28.00,25.48,13.97,13.92,3.99,-12.77,28.00,10.62,6.04,16.90,20.53,-4.20,12.74,14.34,11.06,9.69,8.53,11.47,8.17,12.43,21.63,10.76,-4.33,16.99,3.23
28/09/2019,26.50,24.50,23.00,,22.78,22.94,22.73,25.94,27.46,33.20,34.58,30.11,25.70,14.06,-1.56,-2.77,10.27,23.00,32.28,38.19,43.69,33.40,26.10,22.99,19.38,-2.77,43.69,23.36,24.20,24.77,30.90,5.00,34.29,25.47,24.10,23.40,23.74,24.48,17.95,24.81,30.30,17.08,15.70,30.63,12.64
27/09/2019,29.05,27.95,27.90,,27.99,28.87,31.90,42.55,48.37,50.31,50.08,47.27,44.14,38.81,35.72,34.46,33.94,36.79,44.80,46.54,48.36,47.49,35.14,34.00,30.07,27.90,50.31,38.74,28.22,37.92,47.95,35.73,44.12,36.68,38.44,42.60,28.94,33.07,41.84,34.27,47.83,41.49,37.50,40.27,39.06
26/09/2019,34.18,32.92,31.80,,31.55,32.12,34.90,46.21,50.29,51.51,50.52,49.84,48.93,47.35,46.60,44.70,44.37,44.38,45.04,45.28,43.40,42.49,36.12,32.80,30.29,30.29,51.51,42.04,32.61,40.88,50.20,45.76,44.53,35.43,41.57,46.83,32.91,36.75,47.98,36.31,49.63,48.18,44.62,38.40,46.97
25/09/2019,34.31,33.17,33.00,,34.25,34.90,36.50,50.91,56.97,62.08,56.64,51.67,50.98,49.80,50.24,50.02,49.95,48.48,49.99,54.19,59.66,51.74,47.68,39.69,35.05,33.00,62.08,47.52,33.68,44.82,55.34,50.00,53.08,43.54,46.74,52.81,34.36,39.25,52.67,40.68,56.65,50.67,49.61,48.00,50.44
24/09/2019,36.35,35.44,35.24,,35.43,36.33,38.95,55.98,65.17,65.19,53.04,52.95,50.90,49.15,46.99,45.74,46.82,49.77,54.96,60.20,54.19,51.18,46.41,37.58,34.72,34.72,65.19,48.00,35.62,49.11,55.52,47.18,54.78,42.47,47.45,52.49,36.29,42.36,51.35,42.40,59.85,50.00,49.32,47.38,48.76
23/09/2019,27.66,27.20,27.38,,27.62,27.24,31.31,39.14,48.99,50.00,49.98,49.99,50.50,48.76,48.27,47.27,48.36,53.92,53.97,55.58,64.98,53.10,49.21,42.85,35.79,27.20,64.98,45.16,27.47,36.67,50.12,48.17,57.11,45.24,44.13,51.80,28.07,32.07,49.14,36.46,47.03,49.38,50.88,50.25,48.86
22/09/2019,27.62,28.14,28.36,,28.54,29.87,27.30,26.60,26.88,26.00,25.33,26.24,26.91,26.58,24.90,25.05,26.49,27.27,34.99,39.01,40.97,38.50,34.44,33.40,31.99,24.90,40.97,29.22,28.17,27.66,26.12,25.76,35.56,34.58,29.64,29.15,28.31,27.91,25.94,30.14,26.20,26.16,28.45,36.39,26.03
21/09/2019,33.07,30.01,29.45,,30.09,31.97,32.96,35.38,44.98,43.40,36.50,31.49,29.86,28.27,27.25,26.70,27.67,28.00,39.66,50.00,50.00,46.32,34.93,33.10,30.56,26.70,50.00,33.97,30.66,36.32,35.31,27.47,41.92,36.23,34.65,34.90,31.26,33.49,31.39,34.40,40.07,29.22,30.51,40.82,28.54
20/09/2019,37.37,36.06,35.04,,35.40,36.13,37.25,48.77,53.47,60.73,52.09,49.48,42.85,37.02,34.63,33.38,33.81,36.52,46.13,52.96,56.94,51.22,44.08,39.18,34.20,33.38,60.73,42.70,35.97,43.91,51.29,34.71,48.14,42.17,42.70,44.71,36.21,39.94,43.00,40.68,53.77,41.00,37.46,46.43,38.53
19/09/2019,33.34,31.15,30.78,,30.36,31.43,34.50,48.73,51.79,54.00,52.00,50.19,44.30,37.81,36.31,36.00,36.41,38.88,50.00,52.20,71.47,61.13,51.24,48.09,38.61,30.36,71.47,43.68,31.41,41.61,50.12,36.63,53.14,49.77,43.78,46.63,31.93,36.51,43.38,40.93,51.63,42.15,40.32,53.79,40.17
18/09/2019,27.53,27.16,27.00,,26.74,27.70,30.18,39.77,49.95,51.22,46.36,32.66,29.23,27.65,27.05,26.09,27.66,29.65,37.91,48.29,52.27,53.17,48.07,45.19,37.00,26.09,53.17,35.83,27.11,36.90,39.87,27.11,42.03,45.86,36.48,36.34,27.72,32.00,33.49,36.62,46.83,29.15,30.33,47.33,28.39
17/09/2019,36.88,33.02,30.91,,30.50,30.57,33.15,45.90,50.91,52.03,45.09,36.32,30.23,27.51,26.46,17.88,20.45,25.03,27.99,34.68,39.49,38.81,35.77,33.23,30.03,17.88,52.03,33.31,32.83,40.13,40.92,23.08,31.80,34.46,33.87,31.93,32.51,36.48,32.00,35.81,48.48,30.13,22.84,35.34,26.48
16/09/2019,32.45,32.57,32.09,,30.43,30.92,33.30,50.67,52.98,59.69,55.31,50.79,54.69,50.00,50.32,49.39,48.91,48.11,51.93,56.67,60.91,60.16,51.09,47.91,40.32,30.43,60.91,48.34,31.89,41.97,55.12,49.66,54.41,49.87,47.15,53.06,31.96,36.93,52.39,41.24,54.66,51.45,49.59,52.84,50.68
15/09/2019,33.08,29.40,25.35,,17.86,16.29,17.42,19.75,19.15,24.24,24.83,20.99,8.51,-0.07,-7.45,-6.83,0.07,25.48,32.40,41.75,43.96,48.90,47.99,45.91,41.17,-7.45,48.90,20.38,26.42,18.15,19.64,-3.57,35.90,45.99,23.76,17.32,23.23,22.29,8.04,30.19,21.99,5.50,12.78,44.95,2.54
14/09/2019,39.70,32.50,32.07,,31.95,31.93,31.98,32.86,40.52,41.95,41.77,36.49,32.54,31.28,30.01,28.03,28.02,30.00,35.48,42.96,50.85,47.99,44.05,40.95,32.89,28.02,50.85,35.78,34.06,34.32,38.19,29.34,39.82,41.47,36.20,35.78,33.36,34.19,33.76,36.62,39.28,32.58,30.38,43.28,31.06
13/09/2019,30.05,28.31,27.11,,26.24,27.05,30.01,40.01,43.98,45.72,44.69,43.65,42.21,40.92,38.11,37.06,36.25,37.53,42.48,46.13,50.91,52.07,44.91,42.02,39.00,26.24,52.07,39.57,27.93,35.26,44.07,38.09,44.26,44.50,39.02,42.14,28.13,31.60,41.08,35.90,43.60,41.22,38.33,45.84,39.70
12/09/2019,27.88,27.21,27.53,,26.89,28.03,30.74,44.66,50.32,55.55,47.96,43.93,41.97,40.99,35.28,32.68,32.72,32.75,39.90,42.00,44.27,44.17,41.51,36.84,30.93,26.89,55.55,38.10,27.38,38.44,47.35,35.42,39.73,38.36,37.78,40.83,28.05,32.91,41.39,34.73,49.62,40.54,34.51,39.95,37.93
11/09/2019,31.25,30.23,28.62,,28.88,29.90,30.64,38.82,42.57,43.25,39.82,36.29,33.94,30.55,28.79,28.68,30.02,29.33,33.06,37.34,39.67,41.10,38.37,33.04,30.10,28.62,43.25,33.81,29.75,35.48,38.33,29.51,34.85,35.65,33.93,34.23,29.92,32.61,33.92,33.63,41.12,32.39,30.27,36.60,31.38
10/09/2019,33.01,32.45,31.00,,30.02,29.90,32.23,41.00,44.95,45.93,41.00,36.00,32.60,31.04,31.07,31.30,32.01,34.10,39.18,44.94,48.02,51.59,42.75,35.89,31.70,29.90,51.59,36.64,31.62,37.02,38.88,31.36,41.56,40.48,36.82,37.27,31.44,34.32,35.12,36.37,43.22,32.68,34.15,42.48,32.34
09/09/2019,38.33,34.09,33.03,,32.09,32.44,34.16,48.18,63.52,71.36,56.51,48.71,47.83,46.00,45.23,42.64,42.23,41.60,45.14,49.99,60.94,57.48,45.94,40.38,34.35,32.09,71.36,46.01,34.39,44.58,56.10,44.03,49.42,44.54,45.51,49.85,34.02,39.48,50.06,41.17,59.89,46.94,42.90,48.18,45.44
08/09/2019,34.46,32.61,32.36,,32.01,31.92,32.08,32.39,33.20,35.00,37.27,36.31,36.19,35.46,32.20,32.30,32.37,34.26,39.30,43.11,49.55,54.34,45.49,42.50,38.27,31.92,54.34,36.79,32.86,32.40,36.19,33.08,41.56,45.15,36.87,36.94,32.57,32.63,34.64,36.80,34.47,35.04,34.56,45.54,34.14
