# 30/12/2019 03:16:34 PM : Prices - EPEX Intraday Market Auction 15 minute call - Germany
Delivery day,Hour 1 Q1,Hour 1 Q2,Hour 1 Q3,Hour 1 Q4,Hour 2 Q1,Hour 2 Q2,Hour 2 Q3,Hour 2 Q4,Hour 3A Q1,Hour 3A Q2,Hour 3A Q3,Hour 3A Q4,Hour 3B Q1,Hour 3B Q2,Hour 3B Q3,Hour 3B Q4,Hour 4 Q1,Hour 4 Q2,Hour 4 Q3,Hour 4 Q4,Hour 5 Q1,Hour 5 Q2,Hour 5 Q3,Hour 5 Q4,Hour 6 Q1,Hour 6 Q2,Hour 6 Q3,Hour 6 Q4,Hour 7 Q1,Hour 7 Q2,Hour 7 Q3,Hour 7 Q4,Hour 8 Q1,Hour 8 Q2,Hour 8 Q3,Hour 8 Q4,Hour 9 Q1,Hour 9 Q2,Hour 9 Q3,Hour 9 Q4,Hour 10 Q1,Hour 10 Q2,Hour 10 Q3,Hour 10 Q4,Hour 11 Q1,Hour 11 Q2,Hour 11 Q3,Hour 11 Q4,Hour 12 Q1,Hour 12 Q2,Hour 12 Q3,Hour 12 Q4,Hour 13 Q1,Hour 13 Q2,Hour 13 Q3,Hour 13 Q4,Hour 14 Q1,Hour 14 Q2,Hour 14 Q3,Hour 14 Q4,Hour 15 Q1,Hour 15 Q2,Hour 15 Q3,Hour 15 Q4,Hour 16 Q1,Hour 16 Q2,Hour 16 Q3,Hour 16 Q4,Hour 17 Q1,Hour 17 Q2,Hour 17 Q3,Hour 17 Q4,Hour 18 Q1,Hour 18 Q2,Hour 18 Q3,Hour 18 Q4,Hour 19 Q1,Hour 19 Q2,Hour 19 Q3,Hour 19 Q4,Hour 20 Q1,Hour 20 Q2,Hour 20 Q3,Hour 20 Q4,Hour 21 Q1,Hour 21 Q2,Hour 21 Q3,Hour 21 Q4,Hour 22 Q1,Hour 22 Q2,Hour 22 Q3,Hour 22 Q4,Hour 23 Q1,Hour 23 Q2,Hour 23 Q3,Hour 23 Q4,Hour 24 Q1,Hour 24 Q2,Hour 24 Q3,Hour 24 Q4,Minimum,Maximum,Off-Peak,Baseload,Off-Peak 1,Peakload,Sun Peak,Off-Peak 2
31/12/2019,35.37,26.40,24.41,1.17,31.86,26.51,20.60,7.09,12.51,17.86,17.25,16.01,,,,,8.01,10.13,15.09,17.62,-3.50,5.69,21.63,24.04,7.06,6.10,18.68,26.26,0.04,11.67,25.17,31.50,10.03,20.62,28.06,34.74,27.03,29.86,34.61,37.68,36.58,35.59,37.63,37.62,29.00,31.42,29.80,32.40,31.85,34.67,36.98,36.89,36.66,34.57,33.31,37.32,35.26,34.95,32.78,37.63,27.84,35.42,35.88,40.99,28.19,39.31,39.68,45.42,36.19,39.09,39.76,46.59,37.77,42.01,43.48,45.48,45.01,40.52,45.42,39.98,51.92,40.17,40.06,36.70,45.94,39.42,38.53,36.02,40.60,39.24,39.09,37.65,42.35,37.64,39.20,32.03,45.92,37.86,38.04,26.38,-3.50,51.92,24.41,30.80,17.37,37.19,34.93,38.49
30/12/2019,28.94,28.57,15.41,-7.24,26.89,23.53,3.92,-3.88,20.98,15.08,4.96,0.78,,,,,8.34,7.47,5.58,8.42,5.05,2.70,12.96,15.49,8.01,8.01,19.72,31.25,6.24,17.04,27.17,34.74,21.15,24.91,35.94,39.68,23.86,32.66,32.42,26.72,39.54,36.09,23.49,14.48,37.17,26.77,21.91,17.97,21.90,24.90,23.84,21.68,29.88,26.96,24.52,20.07,23.76,23.91,27.36,33.21,10.93,23.33,30.69,40.39,17.03,30.48,33.79,37.19,25.16,31.30,34.03,36.88,34.74,36.35,36.98,36.60,41.00,37.27,35.75,32.99,37.34,33.15,30.42,22.23,41.12,31.97,23.40,18.88,33.46,29.37,28.37,23.49,40.74,39.05,23.64,15.80,29.47,30.58,22.33,0.83,-7.24,41.12,19.38,24.29,15.56,29.19,26.24,27.03
29/12/2019,40.59,35.64,25.60,18.14,31.63,23.88,26.25,24.00,27.63,24.70,23.70,23.06,,,,,26.64,26.30,23.07,21.90,26.54,25.42,24.39,21.69,27.57,23.06,17.96,17.59,23.98,23.78,23.10,27.45,23.06,25.92,26.82,31.01,23.58,29.59,34.96,35.88,35.87,35.70,35.02,23.39,37.06,26.95,23.71,23.69,29.85,36.35,37.64,33.76,36.51,32.94,35.58,29.33,35.65,31.63,25.65,33.24,21.29,25.77,37.15,41.00,23.79,33.35,39.92,42.50,31.16,33.89,37.54,42.48,40.16,40.70,43.28,43.58,45.94,41.58,41.76,37.16,45.74,39.69,38.05,34.56,39.02,38.26,35.37,31.34,40.16,37.62,30.70,26.05,40.16,36.95,29.34,25.31,39.78,32.73,23.49,0.10,0.10,45.94,27.47,31.08,25.38,34.70,32.26,31.65
28/12/2019,39.33,30.97,23.72,15.86,31.27,25.58,27.67,22.90,33.01,24.68,24.46,22.66,,,,,25.92,24.35,22.72,23.53,25.42,24.09,24.23,24.76,23.65,20.54,23.44,30.45,16.77,24.12,25.69,30.97,6.76,19.73,38.40,43.84,23.95,28.43,39.34,43.67,39.38,38.52,31.82,28.45,40.68,38.79,29.50,27.49,38.36,37.48,39.39,35.82,38.75,32.62,38.73,29.89,28.46,28.41,30.97,39.12,27.03,30.41,39.34,45.14,25.41,36.07,39.35,47.00,31.44,36.34,39.98,49.98,36.97,39.44,40.02,40.75,43.37,39.58,40.83,39.42,47.77,39.45,39.04,31.70,51.37,37.21,36.13,25.37,39.33,32.90,29.51,25.59,41.24,30.58,35.54,24.05,38.39,30.12,30.78,10.19,6.76,51.37,27.91,32.23,25.67,36.54,35.18,32.39
27/12/2019,39.36,31.49,26.25,9.24,35.87,29.59,22.57,11.97,32.60,25.60,20.98,17.67,,,,,17.99,18.76,23.73,29.56,12.49,16.74,29.11,30.91,15.94,17.85,30.15,40.06,-1.70,23.50,39.43,53.21,23.25,35.36,43.36,49.05,26.22,29.85,40.68,43.88,39.45,39.55,40.58,40.00,40.26,39.69,36.59,38.45,38.40,39.94,40.10,35.98,40.07,39.09,40.55,38.52,40.71,40.29,39.41,37.67,37.50,39.99,44.00,48.07,39.15,41.12,46.36,51.47,37.23,41.16,46.15,57.42,43.54,46.31,48.81,51.02,49.07,45.76,45.72,43.90,53.32,43.59,40.95,29.88,59.74,40.88,36.34,19.28,42.02,40.62,34.10,26.11,49.01,40.52,35.81,25.07,42.26,39.45,35.29,20.31,-1.70,59.74,29.97,35.79,26.62,41.61,40.56,36.68
26/12/2019,39.30,27.11,25.41,9.13,36.13,26.16,19.07,9.37,26.39,24.11,20.15,20.22,,,,,23.20,20.09,23.55,26.37,20.05,21.21,26.47,25.64,25.68,22.78,26.65,28.92,21.32,26.36,26.96,38.03,6.30,22.07,27.27,38.38,19.61,21.35,31.62,38.91,26.98,29.46,37.23,37.20,29.47,29.47,30.06,37.46,27.81,29.49,37.60,34.66,35.52,38.34,31.23,29.41,34.01,29.04,29.47,32.25,29.56,29.50,32.90,41.40,26.34,31.45,38.87,41.52,27.63,30.32,39.39,49.38,35.18,41.01,44.74,47.24,42.46,43.01,42.42,41.64,47.62,41.52,35.69,31.09,44.67,41.57,36.52,31.09,41.45,39.74,35.57,34.43,42.45,41.80,36.75,26.55,44.91,39.98,30.78,17.26,6.30,49.38,28.45,31.61,24.37,34.78,32.78,36.60
25/12/2019,37.91,23.00,24.22,-0.64,37.94,26.87,3.84,-4.18,12.49,10.93,17.25,26.81,,,,,1.40,1.84,16.02,17.75,3.38,0.26,15.47,13.08,19.52,12.48,17.42,17.27,17.24,18.11,12.25,20.11,1.04,17.86,33.51,39.77,5.04,17.24,34.43,37.91,24.91,28.03,39.94,41.75,23.83,21.52,31.65,37.64,21.64,36.31,37.93,32.91,41.80,38.23,23.10,14.11,32.00,24.31,23.26,19.58,25.03,25.57,32.10,36.27,25.11,29.46,36.63,42.96,12.64,25.80,41.76,49.29,24.34,33.29,39.51,41.75,33.33,33.42,33.43,33.35,35.13,35.55,33.34,29.75,41.71,34.51,28.08,17.27,35.14,37.16,28.09,25.25,46.47,41.78,30.52,16.64,43.85,37.98,32.41,13.65,-4.18,49.29,21.31,26.05,16.01,30.79,29.71,31.91
24/12/2019,11.78,-0.17,5.82,-17.96,24.96,13.27,6.30,3.01,12.04,7.95,8.16,6.10,,,,,6.61,8.30,9.91,12.97,2.10,6.02,12.15,19.64,6.00,6.71,14.76,22.51,-3.37,11.11,16.83,24.99,-15.41,2.29,24.93,33.79,10.68,20.38,34.61,37.90,24.27,27.58,27.84,28.50,28.06,29.38,30.83,34.68,29.19,31.18,32.03,32.15,32.14,31.77,32.13,31.24,37.95,34.39,29.43,27.68,40.93,39.10,31.89,28.08,39.63,36.11,35.50,38.42,25.25,31.07,43.06,45.18,31.93,40.65,45.11,42.35,44.20,37.04,34.62,29.11,45.10,32.83,31.22,28.08,33.07,31.08,24.30,20.35,35.81,28.03,27.56,22.81,39.68,37.94,22.82,14.56,36.11,22.90,14.07,-0.39,-17.96,45.18,14.89,24.03,9.50,33.18,33.08,25.67
23/12/2019,21.59,10.42,6.02,-9.63,21.95,5.13,-12.43,-26.04,3.46,-8.61,-12.25,-16.97,,,,,-24.92,-24.35,-12.38,-2.53,-35.46,-18.24,-1.04,10.02,-12.70,-8.56,9.23,27.68,-14.02,16.02,26.78,32.48,24.24,27.00,37.94,40.93,31.58,37.55,35.47,36.41,40.51,38.99,36.18,34.96,40.22,36.72,34.90,32.91,36.51,36.60,34.23,32.52,34.53,30.72,35.07,28.68,28.67,28.36,33.60,32.36,30.43,31.95,38.19,43.82,30.01,32.32,36.52,43.95,29.07,35.40,36.53,44.26,35.59,40.26,42.36,42.13,44.37,37.80,41.00,35.77,44.67,36.53,34.80,29.42,52.32,36.64,31.61,28.01,32.90,30.86,28.56,25.00,40.42,29.88,20.01,11.42,30.42,23.84,7.13,-11.79,-35.46,52.32,10.37,23.16,2.52,35.95,34.32,26.08
22/12/2019,34.82,30.62,17.59,-2.96,26.76,14.51,8.52,-0.08,22.54,17.51,12.51,11.14,,,,,9.74,8.53,0.40,-0.55,11.92,11.57,12.01,12.10,16.52,4.26,10.86,9.67,9.79,14.10,23.14,26.87,-4.43,9.73,29.55,29.77,20.33,20.73,27.82,31.11,28.00,28.92,39.90,43.22,22.54,28.63,37.02,45.77,24.27,35.55,45.22,45.98,39.99,39.90,39.91,33.22,45.25,39.99,36.18,32.71,43.87,42.36,39.97,36.12,37.18,37.89,38.60,39.91,28.25,32.82,45.07,46.89,39.94,39.98,42.38,40.97,45.56,46.63,40.00,34.99,51.04,45.07,36.22,28.17,46.55,40.11,33.09,31.70,41.58,37.95,28.11,28.08,38.00,34.01,24.60,15.92,36.16,29.72,20.66,-4.73,-4.73,51.04,19.18,28.26,13.72,37.33,37.83,30.09
