# 30/12/2019 03:16:33 PM : Volumes - EPEX Intraday Market Auction 15 minute call - Germany
Delivery day,Hour 1 Q1,Hour 1 Q2,Hour 1 Q3,Hour 1 Q4,Hour 2 Q1,Hour 2 Q2,Hour 2 Q3,Hour 2 Q4,Hour 3A Q1,Hour 3A Q2,Hour 3A Q3,Hour 3A Q4,Hour 3B Q1,Hour 3B Q2,Hour 3B Q3,Hour 3B Q4,Hour 4 Q1,Hour 4 Q2,Hour 4 Q3,Hour 4 Q4,Hour 5 Q1,Hour 5 Q2,Hour 5 Q3,Hour 5 Q4,Hour 6 Q1,Hour 6 Q2,Hour 6 Q3,Hour 6 Q4,Hour 7 Q1,Hour 7 Q2,Hour 7 Q3,Hour 7 Q4,Hour 8 Q1,Hour 8 Q2,Hour 8 Q3,Hour 8 Q4,Hour 9 Q1,Hour 9 Q2,Hour 9 Q3,Hour 9 Q4,Hour 10 Q1,Hour 10 Q2,Hour 10 Q3,Hour 10 Q4,Hour 11 Q1,Hour 11 Q2,Hour 11 Q3,Hour 11 Q4,Hour 12 Q1,Hour 12 Q2,Hour 12 Q3,Hour 12 Q4,Hour 13 Q1,Hour 13 Q2,Hour 13 Q3,Hour 13 Q4,Hour 14 Q1,Hour 14 Q2,Hour 14 Q3,Hour 14 Q4,Hour 15 Q1,Hour 15 Q2,Hour 15 Q3,Hour 15 Q4,Hour 16 Q1,Hour 16 Q2,Hour 16 Q3,Hour 16 Q4,Hour 17 Q1,Hour 17 Q2,Hour 17 Q3,Hour 17 Q4,Hour 18 Q1,Hour 18 Q2,Hour 18 Q3,Hour 18 Q4,Hour 19 Q1,Hour 19 Q2,Hour 19 Q3,Hour 19 Q4,Hour 20 Q1,Hour 20 Q2,Hour 20 Q3,Hour 20 Q4,Hour 21 Q1,Hour 21 Q2,Hour 21 Q3,Hour 21 Q4,Hour 22 Q1,Hour 22 Q2,Hour 22 Q3,Hour 22 Q4,Hour 23 Q1,Hour 23 Q2,Hour 23 Q3,Hour 23 Q4,Hour 24 Q1,Hour 24 Q2,Hour 24 Q3,Hour 24 Q4,Day Volume
31/12/2019,1193.3,446.4,671.2,970.9,900.2,440.7,536.0,742.2,738.3,529.1,576.7,627.7,,,,,506.0,372.4,339.9,429.8,528.5,353.1,366.2,475.1,698.7,554.3,438.3,988.9,889.1,526.1,469.6,1172.8,1322.2,626.6,679.7,1401.4,1331.6,646.1,718.3,1111.2,1514.7,774.6,632.2,1204.9,1013.9,441.9,452.2,871.4,928.9,485.8,678.0,885.4,686.4,395.3,576.8,688.1,1061.9,617.9,596.1,1059.6,1357.4,768.9,732.1,1275.1,1461.0,945.8,740.4,1465.2,1525.3,986.2,946.5,1519.6,1086.3,677.0,708.6,995.9,730.1,683.0,633.4,1010.8,957.1,676.1,772.9,1192.7,1249.0,817.5,894.3,1506.7,539.3,484.2,580.6,692.7,866.3,750.3,687.9,994.3,899.3,491.3,636.3,1153.8,77975.8
30/12/2019,1279.2,769.6,695.6,934.0,596.9,357.2,376.0,621.3,481.5,335.3,388.1,584.5,,,,,505.1,440.8,411.0,440.0,524.4,382.6,375.8,527.0,820.4,546.4,338.6,851.6,1524.1,561.0,707.9,1577.5,1385.0,552.8,588.4,1118.6,809.6,419.2,467.8,948.1,1333.9,606.0,569.4,1354.1,1118.0,399.6,552.2,1117.5,1007.3,388.1,506.8,853.6,524.5,379.8,360.7,799.9,971.1,600.6,425.3,1107.4,1444.7,606.9,644.9,1508.6,1427.7,616.7,837.5,1589.3,1321.2,787.0,967.8,1292.1,781.8,555.9,549.5,782.5,642.2,464.8,599.2,886.1,869.8,460.1,496.1,1027.4,1381.0,586.0,724.0,1351.2,1016.5,629.7,536.1,838.5,976.4,597.3,400.8,1038.8,1391.4,535.6,413.3,1066.5,73861.6
29/12/2019,922.3,336.4,455.4,1017.2,858.4,553.9,388.5,790.9,382.8,295.5,239.6,382.0,,,,,330.4,312.3,278.3,275.8,310.9,299.7,267.4,333.1,433.0,377.1,334.7,650.9,460.3,413.0,269.5,387.5,1217.5,578.4,480.5,1033.5,1473.3,887.3,676.1,1263.3,1458.4,639.4,597.7,1434.0,1334.1,575.8,603.3,1245.5,1007.3,508.3,696.0,808.0,830.7,613.6,431.0,770.5,1173.2,588.7,697.5,1224.8,1399.3,539.4,721.7,1491.1,1289.8,723.7,779.7,1440.6,1369.4,755.9,659.6,1285.4,1007.4,618.5,661.8,975.1,992.3,658.4,500.1,683.3,1118.8,757.9,496.9,868.9,1800.3,838.4,736.3,1348.0,839.5,459.3,342.2,509.0,1307.8,852.8,609.8,1240.7,1332.7,644.1,598.1,1089.5,73548.0
28/12/2019,866.7,407.6,571.4,997.5,817.4,406.8,664.1,1045.2,354.9,402.0,443.8,539.3,,,,,447.4,433.3,481.1,476.9,493.1,478.0,418.5,367.7,573.1,574.2,453.3,575.9,921.9,613.4,475.9,869.7,1434.3,858.8,478.8,1034.1,1180.9,510.7,475.7,993.5,1009.9,419.1,410.7,899.9,969.4,404.2,707.3,1103.6,687.3,444.4,687.4,715.6,402.6,323.6,410.2,549.9,695.5,422.2,363.9,705.9,1109.9,455.7,416.3,1002.0,1096.9,483.8,493.2,956.2,1180.6,693.6,558.2,1104.8,1058.2,610.9,579.4,884.9,690.0,604.6,597.6,694.6,1041.1,737.4,607.0,1099.6,1506.5,760.6,963.8,1511.7,819.7,561.5,673.1,856.0,997.2,671.2,740.7,1196.7,1123.2,751.6,748.9,1331.3,69439.7
27/12/2019,1034.2,491.6,594.6,982.1,645.2,362.1,553.2,682.2,386.7,323.1,299.2,402.1,,,,,424.1,364.9,305.5,390.2,568.8,430.5,350.3,486.1,1001.6,633.4,353.3,984.6,1566.3,689.2,601.7,1369.8,1468.5,676.3,544.6,1064.8,887.5,415.0,401.1,713.3,691.8,390.4,358.5,764.8,635.5,389.1,398.2,738.4,586.3,367.1,320.7,484.0,393.8,349.9,375.1,494.9,587.3,281.9,355.4,687.1,719.9,380.2,364.6,818.4,768.1,400.8,424.7,809.9,1148.6,591.6,546.9,1104.3,646.6,432.7,428.7,594.8,600.5,419.2,593.3,845.8,1169.6,487.7,638.0,1113.8,1237.4,542.6,732.1,1309.2,843.8,373.3,505.1,946.2,990.7,541.1,679.5,1282.4,1103.1,524.5,610.9,1339.5,62708.0
26/12/2019,1079.3,460.8,593.1,950.1,689.7,418.5,518.6,795.6,377.3,389.9,395.4,442.8,,,,,408.9,367.6,382.1,382.9,455.1,374.8,269.6,515.3,473.2,423.4,264.5,484.6,694.3,556.2,373.0,678.3,1038.2,628.7,515.7,997.5,1314.2,816.1,546.5,1149.1,1263.9,481.8,437.7,953.8,978.1,485.8,421.6,807.8,988.8,370.7,390.8,468.9,618.2,410.5,349.2,750.0,702.9,407.1,438.8,878.2,873.3,411.5,595.5,1040.0,808.3,437.5,373.2,870.6,1191.8,648.2,423.1,927.6,965.6,557.4,554.6,799.5,607.3,494.0,489.7,694.9,773.6,481.0,520.0,916.3,1071.5,580.6,601.0,1138.0,714.8,379.4,397.2,625.6,1045.9,652.8,552.7,1270.4,1094.6,530.3,615.5,1350.8,62901.1
25/12/2019,975.4,364.6,574.5,982.9,744.5,362.7,444.0,700.3,466.6,306.4,270.0,418.5,,,,,404.7,305.5,268.6,321.9,359.0,296.9,289.9,340.7,486.6,434.3,342.4,563.0,1018.4,739.1,408.8,590.3,941.4,623.9,555.0,1032.9,1340.3,719.0,524.6,1191.3,1170.6,565.7,446.7,930.0,965.9,413.5,313.0,829.3,805.4,297.0,504.1,511.2,797.7,476.3,435.7,902.6,831.8,390.7,526.1,1033.8,806.3,425.8,492.9,786.0,755.4,450.8,360.1,702.5,1186.8,674.7,451.6,911.5,1149.8,465.8,530.9,740.8,523.4,328.7,378.3,567.0,555.0,354.0,389.7,720.6,1046.4,490.5,520.4,1017.7,583.8,191.1,325.2,505.3,809.3,473.6,476.8,1022.8,939.2,509.7,496.6,1146.2,59119.0
24/12/2019,915.6,442.4,671.1,1004.5,848.5,513.6,660.5,932.9,528.1,533.5,479.3,614.3,,,,,590.8,483.9,453.3,511.7,825.4,655.7,451.2,538.7,899.9,748.1,424.2,816.1,1390.3,854.0,632.7,1064.9,1320.4,792.2,637.2,1431.8,1352.9,550.3,690.3,1108.8,807.6,391.7,455.3,800.5,625.4,355.2,357.9,638.8,942.0,567.3,506.6,648.2,540.9,436.9,425.6,668.2,1038.2,382.3,470.3,1033.3,1027.8,402.4,424.8,894.5,691.6,341.1,376.9,589.5,1286.8,654.9,708.4,1220.8,836.1,533.3,572.4,842.4,856.5,693.9,574.2,926.9,1039.0,634.2,560.3,1055.8,1362.2,682.7,673.3,1111.8,610.3,309.8,334.7,661.2,820.2,532.9,440.8,892.7,1203.4,637.6,496.1,1047.4,69022.9
23/12/2019,1305.0,545.7,769.6,1188.1,750.5,418.8,606.8,858.0,517.3,465.1,475.9,573.8,,,,,690.8,583.8,509.5,585.9,881.0,663.5,493.0,684.5,1067.4,730.9,633.9,1313.8,1910.0,891.0,848.2,2011.9,1449.8,588.3,750.1,1349.2,700.0,444.3,652.0,748.8,780.5,479.4,423.1,710.0,651.2,556.9,532.4,702.8,624.7,519.3,493.5,502.2,516.7,412.7,262.5,369.3,719.1,534.8,353.4,797.9,845.2,532.0,440.2,773.3,953.8,633.7,481.6,796.8,1126.8,519.9,554.9,1054.3,664.6,485.8,518.3,731.5,810.6,582.5,508.1,656.9,961.4,585.7,487.5,936.6,1388.1,719.7,641.3,1263.6,1235.0,679.3,639.8,1086.0,1349.3,741.3,484.1,1270.7,1188.5,630.3,402.8,1236.7,72197.1
22/12/2019,1208.8,514.5,605.0,1114.9,873.1,459.3,486.3,689.3,501.4,347.8,358.4,483.6,,,,,375.1,348.8,482.8,520.8,428.7,429.1,332.8,376.1,416.3,400.8,309.9,578.6,643.1,441.2,317.8,748.3,1080.5,521.1,571.7,1251.2,1520.7,663.3,610.1,1517.5,1348.7,505.4,493.4,1065.3,1057.2,516.8,416.8,934.4,959.4,303.1,549.4,734.4,652.6,371.8,293.8,565.0,893.1,414.8,345.5,821.8,797.8,389.5,361.1,683.7,662.3,335.4,315.7,608.2,1041.4,650.3,546.4,1039.0,934.0,567.3,655.7,974.8,710.5,495.2,465.6,687.0,711.9,411.8,473.6,1021.1,1083.3,609.7,650.9,1266.1,693.3,291.6,408.8,714.6,1057.5,543.6,471.9,1289.6,1112.3,479.1,587.4,1283.8,63854.2
