# 31/12/2019 11:31:27 AM : Prices - EPEX Auction Intraday IDA2 Switzerland
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Baseload,Off-Peak 2
31/12/2019,,,,,,,,,,,,,,,,,,40.48,45.76,46.60,45.10,40.95,38.33,37.16,37.89,37.16,46.60,41.53,38.58
30/12/2019,,,,,,,,,,,,,,,,,,39.61,42.28,44.10,45.07,40.00,40.00,39.00,39.94,39.00,45.07,41.25,39.74
29/12/2019,,,,,,,,,,,,,,,,,,34.36,41.25,42.98,43.99,40.09,35.57,35.57,33.97,33.97,43.99,38.47,36.30
28/12/2019,,,,,,,,,,,,,,,,,,40.00,41.26,45.21,45.04,40.25,35.21,35.01,32.02,32.02,45.21,39.25,35.62
27/12/2019,,,,,,,,,,,,,,,,,,38.91,41.54,41.06,41.66,38.09,35.05,34.76,31.25,31.25,41.66,37.79,34.79
26/12/2019,,,,,,,,,,,,,,,,,,37.57,39.55,39.99,40.00,38.03,36.70,36.68,34.93,34.93,40.00,37.93,36.59
25/12/2019,,,,,,,,,,,,,,,,,,28.10,29.86,29.07,28.06,27.60,26.87,27.56,26.79,26.79,29.86,27.99,27.21
24/12/2019,,,,,,,,,,,,,,,,,,33.54,33.67,32.20,29.08,26.93,27.68,25.23,17.89,17.89,33.67,28.28,24.43
23/12/2019,,,,,,,,,,,,,,,,,,44.83,40.00,37.57,37.07,34.55,30.94,28.50,18.58,18.58,44.83,34.01,28.14
22/12/2019,,,,,,,,,,,,,,,,,,37.12,40.90,35.35,34.25,33.80,28.21,24.02,15.02,15.02,40.90,31.08,25.26
21/12/2019,,,,,,,,,,,,,,,,,,42.00,40.80,38.00,36.07,33.05,34.15,30.00,25.34,25.34,42.00,34.93,30.64
20/12/2019,,,,,,,,,,,,,,,,,,39.05,40.05,40.00,40.85,41.60,42.15,35.50,28.05,28.05,42.15,38.41,36.83
19/12/2019,,,,,,,,,,,,,,,,,,43.49,42.74,40.67,39.92,37.32,35.00,35.09,33.04,33.04,43.49,38.41,35.11
18/12/2019,,,,,,,,,,,,,,,,,,41.74,47.71,44.13,41.00,38.00,35.09,35.09,32.00,32.00,47.71,39.35,35.05
17/12/2019,,,,,,,,,,,,,,,,,,51.02,55.71,57.03,55.65,51.73,45.55,44.91,42.19,42.19,57.03,50.47,46.10
16/12/2019,,,,,,,,,,,,,,,,,,54.26,60.07,56.51,51.62,46.00,40.00,39.09,38.00,38.00,60.07,48.19,40.77
15/12/2019,,,,,,,,,,,,,,,,,,47.15,48.46,49.04,49.00,48.07,46.77,42.15,38.41,38.41,49.04,46.13,43.85
14/12/2019,,,,,,,,,,,,,,,,,,47.10,48.08,48.05,47.94,42.13,44.00,43.48,43.04,42.13,48.08,45.48,43.16
13/12/2019,,,,,,,,,,,,,,,,,,53.82,55.71,54.01,51.00,47.14,44.01,43.26,40.53,40.53,55.71,48.69,43.74
12/12/2019,,,,,,,,,,,,,,,,,,54.48,53.49,53.53,53.42,52.20,46.97,46.45,42.30,42.30,54.48,50.36,46.98
11/12/2019,,,,,,,,,,,,,,,,,,61.77,69.34,63.08,60.51,56.00,46.94,47.07,39.50,39.50,69.34,55.53,47.38
10/12/2019,,,,,,,,,,,,,,,,,,55.98,56.76,55.26,55.00,51.46,46.26,42.76,40.76,40.76,56.76,50.53,45.31
09/12/2019,,,,,,,,,,,,,,,,,,46.70,49.50,50.47,50.00,49.17,47.00,46.00,43.73,43.73,50.47,47.82,46.48
08/12/2019,,,,,,,,,,,,,,,,,,44.99,46.07,46.10,48.65,45.16,43.00,39.55,44.25,39.55,48.65,44.72,42.99
07/12/2019,,,,,,,,,,,,,,,,,,48.39,51.66,51.25,49.55,50.96,45.98,43.91,43.90,43.90,51.66,48.20,46.19
06/12/2019,,,,,,,,,,,,,,,,,,49.69,50.00,51.80,51.53,50.18,48.06,45.58,43.68,43.68,51.80,48.82,46.88
05/12/2019,,,,,,,,,,,,,,,,,,75.00,59.40,53.88,54.75,62.80,53.05,55.06,52.83,52.83,75.00,58.35,55.94
04/12/2019,,,,,,,,,,,,,,,,,,63.01,66.04,60.30,57.06,59.51,57.00,51.59,49.11,49.11,66.04,57.95,54.30
03/12/2019,,,,,,,,,,,,,,,,,,64.52,70.50,58.97,54.68,54.12,55.00,48.50,44.23,44.23,70.50,56.32,50.46
02/12/2019,,,,,,,,,,,,,,,,,,62.00,70.10,66.60,64.95,57.85,52.50,49.87,46.24,46.24,70.10,58.76,51.62
01/12/2019,,,,,,,,,,,,,,,,,,46.47,51.47,51.68,52.00,48.01,46.95,45.85,39.68,39.68,52.00,47.76,45.12
30/11/2019,,,,,,,,,,,,,,,,,,51.46,55.00,55.46,52.07,46.99,45.00,44.40,42.88,42.88,55.46,49.16,44.82
29/11/2019,,,,,,,,,,,,,,,,,,53.40,54.85,55.95,55.55,51.08,47.55,47.04,44.07,44.07,55.95,51.19,47.44
28/11/2019,,,,,,,,,,,,,,,,,,46.99,47.56,51.60,51.91,51.45,45.93,46.94,41.82,41.82,51.91,48.03,46.54
27/11/2019,,,,,,,,,,,,,,,,,,51.95,51.95,47.10,43.90,41.74,43.15,43.87,39.00,39.00,51.95,45.33,41.94
26/11/2019,,,,,,,,,,,,,,,,,,48.90,49.97,49.08,47.00,45.06,40.00,41.21,41.94,40.00,49.97,45.40,42.05
25/11/2019,,,,,,,,,,,,,,,,,,55.45,61.08,58.10,54.07,48.99,45.75,41.08,38.55,38.55,61.08,50.38,43.59
24/11/2019,,,,,,,,,,,,,,,,,,44.01,50.26,52.06,51.34,50.06,45.63,44.64,39.80,39.80,52.06,47.23,45.03
23/11/2019,,,,,,,,,,,,,,,,,,47.37,52.81,53.06,52.90,47.06,46.86,47.25,44.49,44.49,53.06,48.98,46.42
22/11/2019,,,,,,,,,,,,,,,,,,46.08,46.68,49.00,46.00,47.28,44.22,38.94,38.91,38.91,49.00,44.64,42.34
21/11/2019,,,,,,,,,,,,,,,,,,58.53,62.20,57.88,56.25,57.07,51.97,51.01,47.90,47.90,62.20,55.35,51.99
20/11/2019,,,,,,,,,,,,,,,,,,69.00,75.02,66.04,61.03,57.28,52.38,51.83,47.53,47.53,75.02,60.01,52.26
19/11/2019,,,,,,,,,,,,,,,,,,71.95,86.95,85.93,73.40,62.45,57.95,57.63,54.70,54.70,86.95,68.87,58.18
18/11/2019,,,,,,,,,,,,,,,,,,58.06,59.50,59.37,58.86,58.96,54.42,53.73,48.20,48.20,59.50,56.39,53.83
17/11/2019,,,,,,,,,,,,,,,,,,44.00,47.00,51.35,51.82,50.80,46.00,44.55,41.94,41.94,51.82,47.18,45.82
16/11/2019,,,,,,,,,,,,,,,,,,47.53,52.15,55.50,54.95,52.80,49.45,47.87,46.88,46.88,55.50,50.89,49.25
15/11/2019,,,,,,,,,,,,,,,,,,54.08,57.00,61.06,54.96,51.78,51.94,48.52,45.99,45.99,61.06,53.17,49.56
14/11/2019,,,,,,,,,,,,,,,,,,59.00,54.91,53.01,55.00,56.00,53.00,51.54,46.00,46.00,59.00,53.56,51.64
13/11/2019,,,,,,,,,,,,,,,,,,58.05,60.08,57.00,59.75,54.40,51.90,48.00,43.92,43.92,60.08,54.14,49.56
12/11/2019,,,,,,,,,,,,,,,,,,55.50,63.30,65.04,65.28,56.26,52.26,48.55,44.74,44.74,65.28,56.37,50.45
11/11/2019,,,,,,,,,,,,,,,,,,46.50,50.45,51.55,52.00,51.76,47.14,45.16,42.15,42.15,52.00,48.34,46.55
10/11/2019,,,,,,,,,,,,,,,,,,44.50,51.19,50.46,52.00,50.80,47.10,44.45,40.03,40.03,52.00,47.57,45.60
09/11/2019,,,,,,,,,,,,,,,,,,46.60,52.60,53.10,51.90,46.00,42.75,40.50,36.30,36.30,53.10,46.22,41.39
08/11/2019,,,,,,,,,,,,,,,,,,56.10,70.60,65.10,58.04,48.74,44.04,43.48,40.11,40.11,70.60,53.28,44.09
07/11/2019,,,,,,,,,,,,,,,,,,46.02,48.75,52.78,52.25,46.75,40.00,40.99,38.02,38.02,52.78,45.70,41.44
06/11/2019,,,,,,,,,,,,,,,,,,59.55,80.83,89.92,64.10,52.75,46.89,43.93,39.35,39.35,89.92,59.67,45.73
05/11/2019,,,,,,,,,,,,,,,,,,49.35,65.00,68.22,52.66,47.56,43.20,41.90,38.30,38.30,68.22,50.77,42.74
04/11/2019,,,,,,,,,,,,,,,,,,45.58,47.56,49.73,45.02,38.51,34.01,33.08,26.17,26.17,49.73,39.96,32.94
03/11/2019,,,,,,,,,,,,,,,,,,38.10,43.01,44.15,42.19,36.92,32.50,30.05,26.04,26.04,44.15,36.62,31.38
02/11/2019,,,,,,,,,,,,,,,,,,40.00,34.12,33.30,29.45,27.80,23.65,23.00,21.50,21.50,40.00,29.10,23.99
01/11/2019,,,,,,,,,,,,,,,,,,35.00,40.09,40.00,39.17,35.85,32.75,31.45,29.45,29.45,40.09,35.47,32.38
31/10/2019,,,,,,,,,,,,,,,,,,50.35,51.26,53.00,49.20,43.18,40.00,38.17,37.56,37.56,53.00,45.34,39.73
30/10/2019,,,,,,,,,,,,,,,,,,56.66,62.50,68.60,59.90,53.15,46.50,44.90,41.80,41.80,68.60,54.25,46.59
29/10/2019,,,,,,,,,,,,,,,,,,59.65,68.00,67.28,59.31,53.29,44.90,40.06,36.94,36.94,68.00,53.68,43.80
28/10/2019,,,,,,,,,,,,,,,,,,54.69,60.85,62.94,57.81,54.15,42.42,41.12,38.52,38.52,62.94,51.56,44.05
27/10/2019,,,,,,,,,,,,,,,,,,36.15,41.58,42.20,44.05,40.59,35.15,35.74,34.65,34.65,44.05,38.76,36.53
26/10/2019,,,,,,,,,,,,,,,,,,24.55,28.75,37.06,38.00,28.61,24.68,28.90,18.02,18.02,38.00,28.57,25.05
25/10/2019,,,,,,,,,,,,,,,,,,29.32,36.60,41.62,42.60,34.09,33.40,33.00,30.46,29.32,42.60,35.14,32.74
24/10/2019,,,,,,,,,,,,,,,,,,39.70,42.25,49.15,49.35,44.30,38.05,39.00,34.70,34.70,49.35,42.06,39.01
23/10/2019,,,,,,,,,,,,,,,,,,43.74,47.02,50.20,51.85,44.75,39.93,38.45,34.20,34.20,51.85,43.77,39.33
22/10/2019,,,,,,,,,,,,,,,,,,49.22,55.05,61.30,68.55,53.01,47.29,43.00,38.50,38.50,68.55,51.99,45.45
21/10/2019,,,,,,,,,,,,,,,,,,55.89,57.08,68.47,75.62,60.94,51.00,45.71,42.50,42.50,75.62,57.15,50.04
20/10/2019,,,,,,,,,,,,,,,,,,33.06,36.02,43.58,50.33,45.30,39.24,35.84,35.00,33.06,50.33,39.80,38.85
19/10/2019,,,,,,,,,,,,,,,,,,32.00,34.01,39.65,45.00,37.44,34.00,35.15,32.40,32.00,45.00,36.21,34.75
18/10/2019,,,,,,,,,,,,,,,,,,44.05,44.05,46.80,50.15,55.20,41.80,41.20,39.35,39.35,55.20,45.33,44.39
17/10/2019,,,,,,,,,,,,,,,,,,45.05,50.05,57.04,63.09,53.05,46.05,39.50,36.05,36.05,63.09,48.74,43.66
16/10/2019,,,,,,,,,,,,,,,,,,40.58,47.00,49.95,52.00,50.55,43.50,42.00,36.00,36.00,52.00,45.20,43.01
15/10/2019,,,,,,,,,,,,,,,,,,47.45,61.45,65.95,76.20,59.93,51.47,46.73,40.00,40.00,76.20,56.15,49.53
14/10/2019,,,,,,,,,,,,,,,,,,40.70,46.50,47.20,47.10,45.00,38.35,34.00,31.00,31.00,47.20,41.23,37.09
13/10/2019,,,,,,,,,,,,,,,,,,20.00,36.00,35.50,39.00,35.50,30.50,33.50,33.00,20.00,39.00,32.88,33.13
12/10/2019,,,,,,,,,,,,,,,,,,34.29,34.23,41.00,45.00,35.00,32.50,35.10,31.88,31.88,45.00,36.13,33.62
11/10/2019,,,,,,,,,,,,,,,,,,25.55,30.50,33.55,38.55,36.10,30.50,33.05,31.55,25.55,38.55,32.42,32.80
10/10/2019,,,,,,,,,,,,,,,,,,33.10,38.78,43.90,49.92,44.63,33.95,32.65,30.08,30.08,49.92,38.38,35.33
09/10/2019,,,,,,,,,,,,,,,,,,44.70,44.70,44.80,51.10,43.55,38.35,37.10,35.05,35.05,51.10,42.42,38.51
08/10/2019,,,,,,,,,,,,,,,,,,42.00,43.25,44.85,48.80,47.40,38.60,37.55,46.95,37.55,48.80,43.68,42.63
07/10/2019,,,,,,,,,,,,,,,,,,50.19,53.88,57.20,62.73,53.85,43.60,37.15,31.80,31.80,62.73,48.80,41.60
06/10/2019,,,,,,,,,,,,,,,,,,31.70,34.65,38.60,43.49,40.25,36.50,36.35,34.50,31.70,43.49,37.01,36.90
05/10/2019,,,,,,,,,,,,,,,,,,40.05,38.78,47.71,51.55,50.10,40.80,39.70,36.83,36.83,51.55,43.19,41.86
04/10/2019,,,,,,,,,,,,,,,,,,42.50,44.00,44.00,47.45,42.50,35.95,36.00,35.05,35.05,47.45,40.93,37.38
