# 31/12/2019 11:31:26 AM : Volumes - EPEX Auction Intraday IDA2 Switzerland
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Day Volume
31/12/2019,,,,,,,,,,,,,,,,,,110.3,34.1,0.0,3.2,51.9,247.7,172.0,45.0,664.2
30/12/2019,,,,,,,,,,,,,,,,,,148.5,128.0,253.7,205.9,163.3,0.0,18.7,2.8,920.9
29/12/2019,,,,,,,,,,,,,,,,,,100.0,100.0,74.6,106.8,358.2,465.2,590.8,114.7,1910.3
28/12/2019,,,,,,,,,,,,,,,,,,12.9,122.2,174.2,203.3,581.2,616.1,302.2,173.5,2185.6
27/12/2019,,,,,,,,,,,,,,,,,,279.5,242.1,30.0,0.0,175.5,203.4,50.0,92.5,1073.0
26/12/2019,,,,,,,,,,,,,,,,,,43.0,74.0,1.0,150.0,158.7,295.5,150.0,221.5,1093.7
25/12/2019,,,,,,,,,,,,,,,,,,10.0,32.1,33.4,105.7,34.5,63.2,174.8,43.2,496.9
24/12/2019,,,,,,,,,,,,,,,,,,401.1,269.8,536.7,295.2,107.9,436.0,342.3,175.5,2564.5
23/12/2019,,,,,,,,,,,,,,,,,,73.8,41.6,47.9,46.5,4.0,48.0,9.8,5.4,277.0
22/12/2019,,,,,,,,,,,,,,,,,,80.2,0.0,430.2,438.2,167.3,564.1,625.1,432.3,2737.4
21/12/2019,,,,,,,,,,,,,,,,,,30.0,25.0,25.0,25.0,25.0,25.0,180.0,113.0,448.0
20/12/2019,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,54.3,132.0,0.0,97.7,284.0
19/12/2019,,,,,,,,,,,,,,,,,,125.7,45.3,182.1,257.3,203.0,221.0,203.0,36.5,1273.9
