# 06/05/2010 11:40:15 AM : Block Values - EPEX Spot Continuous Trading - France
Delivery day,Hour from,Hour to,Volume (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Average Price
01/08/2009,9,20,600,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,1,24,1200,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,9,16,400,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,1,8,400,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,1,6,300,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,21,24,200,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,17,20,200,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,13,16,200,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,9,12,200,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,5,8,200,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
01/08/2009,1,4,200,30.50,31.00,31.00,31/07/2009 10:26:44,30.75
31/07/2009,9,20,600,37.60,38.00,38.00,30/07/2009 09:56:40,37.80
31/07/2009,1,24,600,37.60,38.00,38.00,30/07/2009 09:56:40,37.80
31/07/2009,9,16,400,37.60,38.00,38.00,30/07/2009 09:56:40,37.80
31/07/2009,17,20,200,37.60,38.00,38.00,30/07/2009 09:56:40,37.80
31/07/2009,13,16,200,37.60,38.00,38.00,30/07/2009 09:56:40,37.80
31/07/2009,9,12,200,37.60,38.00,38.00,30/07/2009 09:56:40,37.80
12/02/2009,9,20,100,74.00,74.00,74.00,11/02/2009 10:08:47,74.00
12/02/2009,1,24,100,74.00,74.00,74.00,11/02/2009 10:08:47,74.00
12/02/2009,17,20,100,74.00,74.00,74.00,11/02/2009 10:08:47,74.00
11/02/2009,9,20,100,64.00,64.00,64.00,10/02/2009 09:13:47,64.00
11/02/2009,1,24,100,64.00,64.00,64.00,10/02/2009 09:13:47,64.00
11/02/2009,17,20,100,64.00,64.00,64.00,10/02/2009 09:13:47,64.00
05/02/2009,9,20,72,72.00,72.00,72.00,04/02/2009 09:44:41,72.00
05/02/2009,1,24,72,72.00,72.00,72.00,04/02/2009 09:44:41,72.00
05/02/2009,17,20,72,72.00,72.00,72.00,04/02/2009 09:44:41,72.00
04/02/2009,9,20,100,87.00,87.00,87.00,03/02/2009 09:40:57,87.00
04/02/2009,1,24,100,87.00,87.00,87.00,03/02/2009 09:40:57,87.00
04/02/2009,17,20,100,87.00,87.00,87.00,03/02/2009 09:40:57,87.00
03/02/2009,9,20,100,92.25,92.25,92.25,02/02/2009 09:19:21,92.25
03/02/2009,1,24,100,92.25,92.25,92.25,02/02/2009 09:19:21,92.25
03/02/2009,17,20,100,92.25,92.25,92.25,02/02/2009 09:19:21,92.25
31/01/2009,9,20,300,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,1,24,600,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,9,16,200,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,1,8,200,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,1,6,150,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,21,24,100,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,17,20,100,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,13,16,100,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,9,12,100,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,5,8,100,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
31/01/2009,1,4,100,47.50,47.50,47.50,30/01/2009 09:00:04,47.50
30/01/2009,9,20,200,74.50,75.00,74.50,29/01/2009 10:22:33,74.75
30/01/2009,1,24,200,74.50,75.00,74.50,29/01/2009 10:22:33,74.75
30/01/2009,9,16,200,74.50,75.00,74.50,29/01/2009 10:22:33,74.75
30/01/2009,9,12,200,74.50,75.00,74.50,29/01/2009 10:22:33,74.75
28/01/2009,9,20,300,79.50,79.50,79.50,27/01/2009 09:18:00,79.50
28/01/2009,1,24,300,79.50,79.50,79.50,27/01/2009 09:18:00,79.50
28/01/2009,9,16,200,79.50,79.50,79.50,27/01/2009 09:18:00,79.50
28/01/2009,17,20,100,79.50,79.50,79.50,27/01/2009 09:18:00,79.50
28/01/2009,13,16,100,79.50,79.50,79.50,27/01/2009 09:18:00,79.50
28/01/2009,9,12,100,79.50,79.50,79.50,27/01/2009 09:18:00,79.50
26/01/2009,9,20,600,72.00,72.00,72.00,25/01/2009 10:09:26,72.00
26/01/2009,1,24,600,72.00,72.00,72.00,25/01/2009 10:09:26,72.00
26/01/2009,9,16,400,72.00,72.00,72.00,25/01/2009 10:09:26,72.00
26/01/2009,17,20,200,72.00,72.00,72.00,25/01/2009 10:09:26,72.00
26/01/2009,13,16,200,72.00,72.00,72.00,25/01/2009 10:09:26,72.00
26/01/2009,9,12,200,72.00,72.00,72.00,25/01/2009 10:09:26,72.00
22/01/2009,9,20,600,69.00,69.45,69.45,21/01/2009 10:44:55,69.15
22/01/2009,1,24,600,69.00,69.45,69.45,21/01/2009 10:44:55,69.15
22/01/2009,17,20,600,69.00,69.45,69.45,21/01/2009 10:44:55,69.15
21/01/2009,1,24,100,58.25,58.25,58.25,20/01/2009 10:38:11,58.25
21/01/2009,21,24,100,58.25,58.25,58.25,20/01/2009 10:38:11,58.25
16/01/2009,9,20,600,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,1,24,1200,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,9,16,400,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,1,8,400,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,1,6,300,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,21,24,200,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,17,20,200,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,13,16,200,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,9,12,200,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,5,8,200,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
16/01/2009,1,4,200,69.00,69.00,69.00,15/01/2009 09:23:14,69.00
15/01/2009,9,20,1200,80.80,101.00,101.00,14/01/2009 10:20:19,93.20
15/01/2009,1,24,1500,80.80,101.00,101.00,14/01/2009 10:20:19,90.72
15/01/2009,9,16,800,80.80,101.00,101.00,14/01/2009 10:20:19,93.20
15/01/2009,1,8,200,80.80,80.80,80.80,14/01/2009 09:33:34,80.80
