# 06/05/2010 11:40:13 AM : Hour Values - EPEX Spot Continuous Trading - France
Delivery day,Hour from,Hour to,Volume (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Average Price
07/05/2010,24,24,0,,,,,
07/05/2010,23,23,0,,,,,
07/05/2010,22,22,0,,,,,
07/05/2010,21,21,0,,,,,
07/05/2010,20,20,0,,,,,
07/05/2010,19,19,0,,,,,
07/05/2010,18,18,0,,,,,
07/05/2010,17,17,0,,,,,
07/05/2010,16,16,0,,,,,
07/05/2010,15,15,0,,,,,
07/05/2010,14,14,0,,,,,
07/05/2010,13,13,0,,,,,
07/05/2010,12,12,0,,,,,
07/05/2010,11,11,0,,,,,
07/05/2010,10,10,0,,,,,
07/05/2010,9,9,0,,,,,
07/05/2010,8,8,0,,,,,
07/05/2010,7,7,0,,,,,
07/05/2010,6,6,0,,,,,
07/05/2010,5,5,0,,,,,
07/05/2010,4,4,0,,,,,
07/05/2010,3,3,0,,,,,
07/05/2010,2,2,0,,,,,
07/05/2010,1,1,0,,,,,
06/05/2010,24,24,0,,,,,
06/05/2010,23,23,0,,,,,
06/05/2010,22,22,0,,,,,
06/05/2010,21,21,0,,,,,
06/05/2010,20,20,0,,,,,
06/05/2010,19,19,0,,,,,
06/05/2010,18,18,0,,,,,
06/05/2010,17,17,0,,,,,
06/05/2010,16,16,0,,,,,
06/05/2010,15,15,0,,,,,
06/05/2010,14,14,0,,,,,
06/05/2010,13,13,0,,,,,
06/05/2010,12,12,0,,,,,
06/05/2010,11,11,0,,,,,
06/05/2010,10,10,0,,,,,
06/05/2010,9,9,0,,,,,
06/05/2010,8,8,0,,,,,
06/05/2010,7,7,0,,,,,
06/05/2010,6,6,0,,,,,
06/05/2010,5,5,0,,,,,
06/05/2010,4,4,0,,,,,
06/05/2010,3,3,0,,,,,
06/05/2010,2,2,0,,,,,
06/05/2010,1,1,0,,,,,
05/05/2010,24,24,0,,,,,
05/05/2010,23,23,0,,,,,
05/05/2010,22,22,0,,,,,
05/05/2010,21,21,0,,,,,
05/05/2010,20,20,0,,,,,
05/05/2010,19,19,0,,,,,
05/05/2010,18,18,0,,,,,
05/05/2010,17,17,0,,,,,
05/05/2010,16,16,0,,,,,
05/05/2010,15,15,0,,,,,
05/05/2010,14,14,0,,,,,
05/05/2010,13,13,0,,,,,
05/05/2010,12,12,0,,,,,
05/05/2010,11,11,0,,,,,
05/05/2010,10,10,0,,,,,
05/05/2010,9,9,0,,,,,
05/05/2010,8,8,0,,,,,
05/05/2010,7,7,0,,,,,
05/05/2010,6,6,0,,,,,
05/05/2010,5,5,0,,,,,
05/05/2010,4,4,0,,,,,
05/05/2010,3,3,0,,,,,
05/05/2010,2,2,0,,,,,
05/05/2010,1,1,0,,,,,
04/05/2010,24,24,0,,,,,
04/05/2010,23,23,0,,,,,
04/05/2010,22,22,0,,,,,
04/05/2010,21,21,0,,,,,
04/05/2010,20,20,0,,,,,
04/05/2010,19,19,0,,,,,
04/05/2010,18,18,0,,,,,
04/05/2010,17,17,0,,,,,
04/05/2010,16,16,0,,,,,
04/05/2010,15,15,0,,,,,
04/05/2010,14,14,0,,,,,
04/05/2010,13,13,0,,,,,
04/05/2010,12,12,0,,,,,
04/05/2010,11,11,0,,,,,
04/05/2010,10,10,0,,,,,
04/05/2010,9,9,0,,,,,
04/05/2010,8,8,0,,,,,
04/05/2010,7,7,0,,,,,
04/05/2010,6,6,0,,,,,
04/05/2010,5,5,0,,,,,
04/05/2010,4,4,0,,,,,
04/05/2010,3,3,0,,,,,
04/05/2010,2,2,0,,,,,
04/05/2010,1,1,0,,,,,
03/05/2010,24,24,0,,,,,
03/05/2010,23,23,0,,,,,
03/05/2010,22,22,0,,,,,
03/05/2010,21,21,0,,,,,
03/05/2010,20,20,0,,,,,
03/05/2010,19,19,0,,,,,
03/05/2010,18,18,0,,,,,
03/05/2010,17,17,0,,,,,
03/05/2010,16,16,0,,,,,
03/05/2010,15,15,0,,,,,
03/05/2010,14,14,0,,,,,
03/05/2010,13,13,0,,,,,
03/05/2010,12,12,0,,,,,
