# 06/05/2010 11:40:16 AM : Transaction Values - EPEX Spot Continuous - France
Date,Hour from,Hour to,Volume (MW),Price (EUR),Time Stamp
01/08/2009,1,24,25,31.00,31/07/2009 10:26:44
01/08/2009,1,24,25,30.50,31/07/2009 09:35:14
31/07/2009,9,20,25,38.00,30/07/2009 09:56:40
31/07/2009,9,20,25,37.60,30/07/2009 08:52:45
12/02/2009,17,20,25,74.00,11/02/2009 10:08:47
11/02/2009,17,20,25,64.00,10/02/2009 09:13:47
05/02/2009,17,20,18,72.00,04/02/2009 09:44:41
04/02/2009,17,20,25,87.00,03/02/2009 09:40:57
03/02/2009,17,20,25,92.25,02/02/2009 09:19:21
31/01/2009,1,24,25,47.50,30/01/2009 09:00:04
30/01/2009,9,12,25,74.50,29/01/2009 10:22:33
30/01/2009,9,12,25,75.00,29/01/2009 10:21:09
28/01/2009,9,20,25,79.50,27/01/2009 09:18:00
26/01/2009,9,20,50,72.00,25/01/2009 10:09:26
22/01/2009,17,20,25,69.45,21/01/2009 10:44:55
22/01/2009,17,20,50,69.00,21/01/2009 09:47:30
22/01/2009,17,20,50,69.00,21/01/2009 09:29:41
22/01/2009,17,20,25,69.15,21/01/2009 09:29:29
21/01/2009,21,24,25,58.25,20/01/2009 10:38:11
16/01/2009,1,24,25,69.00,15/01/2009 09:23:14
16/01/2009,1,24,25,69.00,15/01/2009 09:23:11
15/01/2009,9,20,25,101.00,14/01/2009 10:20:19
15/01/2009,1,24,25,80.80,14/01/2009 09:33:34
15/01/2009,9,20,25,96.00,14/01/2009 08:45:52
15/01/2009,9,20,25,95.00,14/01/2009 08:40:59
13/01/2009,1,24,25,71.50,12/01/2009 10:24:58
13/01/2009,1,24,25,71.25,12/01/2009 10:13:40
09/01/2009,9,20,25,89.50,08/01/2009 08:22:58
08/01/2009,17,20,25,115.00,07/01/2009 10:19:17
08/01/2009,17,20,50,115.00,07/01/2009 10:14:33
08/01/2009,9,20,25,103.50,07/01/2009 08:55:45
07/01/2009,17,20,50,145.00,06/01/2009 10:05:14
07/01/2009,17,20,50,160.00,06/01/2009 09:23:12
07/01/2009,17,20,25,170.00,06/01/2009 09:04:16
07/01/2009,17,20,25,160.00,06/01/2009 08:40:59
06/01/2009,17,20,25,127.50,05/01/2009 10:43:36
06/01/2009,17,20,25,131.25,05/01/2009 10:16:58
06/01/2009,17,20,50,130.50,05/01/2009 09:43:29
06/01/2009,9,20,25,104.00,05/01/2009 09:38:20
06/01/2009,17,20,25,133.00,05/01/2009 09:31:22
06/01/2009,9,20,50,105.00,05/01/2009 09:07:19
06/01/2009,9,20,25,109.00,05/01/2009 08:30:25
31/12/2008,9,20,50,51.50,30/12/2008 10:54:41
12/12/2008,21,24,50,77.75,11/12/2008 10:42:10
12/12/2008,17,20,50,125.00,11/12/2008 10:37:03
12/12/2008,9,20,25,104.50,11/12/2008 10:36:55
12/12/2008,17,20,50,125.00,11/12/2008 10:30:50
12/12/2008,17,20,50,125.00,11/12/2008 10:18:19
12/12/2008,17,20,50,128.00,11/12/2008 09:33:03
12/12/2008,17,20,25,131.00,11/12/2008 09:27:21
11/12/2008,17,20,25,156.00,10/12/2008 09:56:36
11/12/2008,1,24,25,90.75,10/12/2008 09:20:35
11/12/2008,17,20,25,153.00,10/12/2008 09:04:28
10/12/2008,1,24,25,90.00,09/12/2008 10:16:12
10/12/2008,1,24,25,92.75,09/12/2008 09:32:24
10/12/2008,17,20,25,160.00,09/12/2008 08:52:29
09/12/2008,17,20,50,124.00,08/12/2008 10:08:12
09/12/2008,17,20,25,115.00,08/12/2008 09:15:51
03/12/2008,17,20,25,127.50,02/12/2008 09:37:55
03/12/2008,17,20,25,127.50,02/12/2008 09:37:35
03/12/2008,17,20,25,128.00,02/12/2008 09:07:42
02/12/2008,1,24,25,85.00,01/12/2008 09:37:45
26/11/2008,9,20,10,115.50,25/11/2008 10:14:03
26/11/2008,1,24,25,92.00,25/11/2008 09:15:04
21/11/2008,9,20,10,77.25,20/11/2008 09:45:28
21/11/2008,9,20,25,78.25,20/11/2008 09:38:40
21/11/2008,9,20,50,78.75,20/11/2008 09:30:32
21/11/2008,9,20,5,79.20,20/11/2008 09:30:01
21/11/2008,9,20,5,79.20,20/11/2008 09:29:45
20/11/2008,1,24,10,68.00,19/11/2008 09:58:51
15/11/2008,1,24,20,56.00,14/11/2008 09:45:59
15/11/2008,1,24,25,57.00,14/11/2008 09:25:41
06/11/2008,1,24,25,80.50,05/11/2008 08:49:30
29/10/2008,9,20,25,143.50,28/10/2008 09:33:04
24/10/2008,9,20,15,117.50,23/10/2008 08:53:00
24/10/2008,9,20,15,120.00,23/10/2008 08:11:42
23/10/2008,9,20,15,130.00,22/10/2008 11:11:45
23/10/2008,1,24,25,105.00,22/10/2008 08:30:05
22/10/2008,9,20,25,132.00,21/10/2008 10:09:26
22/10/2008,9,20,15,130.50,21/10/2008 09:52:40
16/10/2008,21,24,25,87.00,15/10/2008 10:10:59
16/10/2008,21,24,50,87.00,15/10/2008 10:09:01
24/08/2008,1,24,15,48.00,23/08/2008 10:18:04
30/06/2008,9,20,25,120.00,29/06/2008 10:11:36
22/04/2008,1,24,25,69.00,21/04/2008 08:53:36
16/04/2008,1,6,50,52.25,15/04/2008 10:10:35
03/04/2008,1,24,10,75.00,02/04/2008 09:42:26
12/03/2008,1,24,25,60.00,11/03/2008 09:33:50
11/03/2008,1,24,25,67.50,10/03/2008 09:19:26
11/03/2008,9,20,25,76.00,10/03/2008 09:16:11
07/03/2008,1,24,25,69.00,06/03/2008 08:47:13
05/03/2008,1,6,25,47.00,04/03/2008 11:23:03
05/03/2008,1,24,25,68.50,04/03/2008 08:26:20
29/02/2008,1,24,25,63.00,28/02/2008 09:59:48
28/02/2008,9,20,25,77.00,27/02/2008 09:51:11
20/02/2008,1,24,25,74.00,19/02/2008 08:41:11
08/02/2008,9,20,25,76.25,07/02/2008 09:18:06
08/02/2008,9,20,25,76.50,07/02/2008 09:03:15
01/02/2008,9,20,25,76.00,31/01/2008 09:52:37
01/02/2008,9,20,25,76.25,31/01/2008 09:10:31
01/02/2008,1,24,25,65.00,31/01/2008 08:42:10
25/01/2008,1,24,25,59.00,24/01/2008 09:23:28
25/01/2008,9,20,25,68.50,24/01/2008 09:12:03
23/01/2008,1,24,25,67.00,22/01/2008 11:22:32
23/01/2008,9,16,25,80.00,22/01/2008 09:57:02
15/01/2008,1,24,25,68.75,14/01/2008 09:04:24
14/01/2008,1,24,25,68.00,13/01/2008 10:17:51
12/01/2008,1,24,25,55.00,11/01/2008 10:46:02
11/01/2008,1,24,25,65.00,10/01/2008 09:38:33
10/01/2008,9,20,25,80.00,09/01/2008 09:43:29
09/01/2008,1,24,25,74.00,08/01/2008 08:14:13
20/12/2007,9,20,10,170.00,19/12/2007 10:11:00
20/12/2007,9,20,25,165.00,19/12/2007 08:50:22
19/12/2007,9,20,25,135.00,18/12/2007 10:38:10
19/12/2007,9,20,25,129.00,18/12/2007 09:10:34
18/12/2007,9,20,50,145.00,17/12/2007 09:10:43
18/12/2007,9,20,50,147.00,17/12/2007 09:09:36
23/11/2007,9,20,25,122.00,22/11/2007 10:14:27
17/11/2007,1,24,25,90.00,16/11/2007 10:16:57
17/11/2007,1,24,25,85.00,16/11/2007 09:56:38
15/11/2007,1,24,25,148.00,14/11/2007 08:52:40
14/11/2007,9,20,25,175.00,13/11/2007 08:44:40
12/10/2007,1,24,25,48.00,11/10/2007 10:34:44
10/10/2007,1,24,25,56.25,09/10/2007 09:55:03
03/10/2007,1,24,25,38.50,02/10/2007 09:05:19
28/09/2007,21,24,50,42.25,27/09/2007 10:07:01
26/09/2007,9,20,25,65.00,25/09/2007 08:44:38
26/09/2007,9,20,25,65.00,25/09/2007 08:44:22
26/09/2007,9,20,25,65.00,25/09/2007 08:44:11
26/09/2007,9,20,25,65.00,25/09/2007 08:44:03
25/09/2007,1,8,25,24.55,24/09/2007 10:09:40
18/09/2007,9,20,25,52.75,17/09/2007 09:32:51
13/09/2007,1,24,25,40.00,12/09/2007 08:59:19
13/09/2007,1,24,25,40.25,12/09/2007 08:56:14
31/08/2007,21,24,25,27.50,30/08/2007 09:21:07
30/08/2007,9,20,25,41.75,29/08/2007 08:44:21
29/08/2007,1,24,10,33.50,28/08/2007 09:54:18
25/08/2007,1,24,25,23.75,24/08/2007 10:19:55
24/08/2007,9,20,25,38.00,23/08/2007 09:50:06
24/08/2007,1,24,25,27.25,23/08/2007 09:31:42
24/08/2007,1,8,25,14.00,23/08/2007 09:12:27
22/08/2007,1,24,25,33.00,21/08/2007 10:05:44
21/08/2007,1,24,25,30.50,20/08/2007 09:25:16
18/08/2007,1,24,25,22.75,17/08/2007 10:38:27
18/08/2007,1,24,25,23.00,17/08/2007 10:12:11
18/08/2007,1,24,25,24.00,17/08/2007 09:38:11
15/08/2007,1,24,50,22.50,14/08/2007 10:10:31
14/08/2007,9,20,25,41.75,13/08/2007 09:59:12
14/08/2007,9,20,25,41.50,13/08/2007 09:14:24
14/08/2007,1,24,25,33.50,13/08/2007 09:03:30
06/08/2007,9,20,25,36.00,05/08/2007 10:50:15
06/08/2007,9,20,25,36.00,05/08/2007 10:34:21
06/08/2007,9,20,25,36.00,05/08/2007 10:29:43
06/08/2007,9,20,25,36.00,05/08/2007 10:27:39
06/08/2007,9,20,25,36.00,05/08/2007 10:24:28
05/08/2007,1,24,25,20.00,04/08/2007 10:44:31
05/08/2007,1,24,25,19.75,04/08/2007 10:15:40
05/08/2007,1,24,25,19.50,04/08/2007 09:36:20
05/08/2007,1,24,25,19.50,04/08/2007 09:29:02
05/08/2007,1,24,25,19.50,04/08/2007 09:26:30
05/08/2007,1,24,25,19.50,04/08/2007 09:18:27
04/08/2007,1,24,25,24.75,03/08/2007 09:06:25
04/08/2007,1,24,25,25.00,03/08/2007 08:54:03
03/08/2007,1,6,25,14.75,02/08/2007 09:31:41
03/08/2007,9,20,25,30.00,02/08/2007 08:28:10
02/08/2007,9,20,25,36.25,01/08/2007 08:23:21
01/08/2007,9,20,25,37.00,31/07/2007 08:25:12
27/07/2007,1,24,25,26.30,26/07/2007 09:51:52
27/07/2007,1,24,25,26.30,26/07/2007 09:49:15
27/07/2007,1,24,25,26.25,26/07/2007 09:36:42
19/07/2007,17,20,15,46.50,18/07/2007 10:37:46
14/07/2007,13,16,10,10.00,13/07/2007 10:10:53
14/07/2007,9,12,10,10.00,13/07/2007 10:10:06
14/07/2007,1,24,10,10.00,13/07/2007 09:59:31
13/07/2007,9,20,10,43.00,12/07/2007 08:50:36
12/07/2007,9,20,25,42.75,11/07/2007 09:38:09
12/07/2007,9,20,25,42.50,11/07/2007 08:32:59
12/07/2007,9,20,25,41.75,11/07/2007 08:23:10
