# 01/01/2019 12:37:28 AM : Hour Values - EPEX Spot Intraday Trading - Austria
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,ID3-Price,ID1-Price,Weighted Average Price
31/12/2018,24qh4,24qh4,25.5,20.4,13.00,50.00,50.00,31/12/2018 23:33:00,42.10,42.10,42.10,42.10
31/12/2018,24qh3,24qh3,11.4,74.1,25.45,64.00,50.00,31/12/2018 23:24:00,52.34,58.70,58.70,52.34
31/12/2018,24hh2,24hh2,0.0,0.0,0.00,0.00,0.00,,42.68,42.68,42.68,0.00
31/12/2018,24qh2,24qh2,14.0,238.0,37.11,60.10,60.10,31/12/2018 23:08:00,41.61,42.70,42.70,41.61
31/12/2018,24qh1,24qh1,6.1,468.9,49.20,61.00,61.00,31/12/2018 22:54:00,51.24,50.17,50.17,51.24
31/12/2018,24hh1,24hh1,0.0,0.0,0.00,0.00,0.00,,42.68,42.68,42.68,0.00
31/12/2018,24,24,215.8,1384.7,34.82,57.00,44.00,31/12/2018 22:37:00,42.68,45.87,48.00,42.68
31/12/2018,23qh4,23qh4,68.2,10.3,24.00,53.20,53.20,31/12/2018 22:25:00,34.96,25.59,25.59,34.96
31/12/2018,23qh3,23qh3,28.2,1.1,41.34,56.39,53.40,31/12/2018 20:50:00,43.24,43.32,43.32,43.24
31/12/2018,23hh2,23hh2,0.0,0.0,0.00,0.00,0.00,,51.21,51.21,51.21,0.00
31/12/2018,23qh2,23qh2,23.6,41.2,53.40,67.30,67.30,31/12/2018 22:09:00,56.64,57.89,57.89,56.64
31/12/2018,23qh1,23qh1,0.8,107.2,62.15,71.50,71.20,31/12/2018 21:53:00,69.90,69.43,69.43,69.90
31/12/2018,23hh1,23hh1,0.0,0.0,0.00,0.00,0.00,,51.21,51.21,51.21,0.00
31/12/2018,23,23,180.6,831.6,45.01,60.00,60.00,31/12/2018 21:36:00,51.21,49.49,49.49,51.21
31/12/2018,22qh4,22qh4,54.0,30.4,29.20,64.10,64.10,31/12/2018 21:37:00,51.73,39.97,39.97,51.73
31/12/2018,22qh3,22qh3,2.3,28.4,42.36,59.20,58.79,31/12/2018 19:57:00,56.40,56.69,56.69,56.40
31/12/2018,22hh2,22hh2,0.0,0.0,0.00,0.00,0.00,,51.64,51.64,51.64,0.00
31/12/2018,22qh2,22qh2,2.3,37.5,51.92,68.90,68.90,31/12/2018 21:08:00,54.19,54.08,54.08,54.19
31/12/2018,22qh1,22qh1,11.8,35.3,45.20,55.09,54.00,31/12/2018 19:58:00,53.05,53.05,53.05,53.05
31/12/2018,22hh1,22hh1,0.0,0.0,0.00,0.00,0.00,,51.64,51.64,51.64,0.00
31/12/2018,22,22,200.3,840.7,44.60,54.80,50.90,31/12/2018 20:54:00,51.64,51.14,53.00,51.64
31/12/2018,21qh4,21qh4,60.6,17.9,32.81,53.00,50.00,31/12/2018 20:39:00,48.70,47.81,53.00,48.70
31/12/2018,21qh3,21qh3,50.1,27.1,42.16,60.00,54.00,31/12/2018 20:24:00,53.53,54.03,55.04,53.53
31/12/2018,21hh2,21hh2,0.0,0.0,0.00,0.00,0.00,,56.25,56.25,56.25,0.00
31/12/2018,21qh2,21qh2,56.4,75.3,52.65,60.00,54.90,31/12/2018 19:46:00,56.94,56.21,56.21,56.94
31/12/2018,21qh1,21qh1,84.7,290.9,55.20,75.00,70.00,31/12/2018 19:47:00,64.97,59.05,59.05,64.97
31/12/2018,21hh1,21hh1,0.0,0.0,0.00,0.00,0.00,,56.25,56.25,56.25,0.00
31/12/2018,21,21,516.9,440.2,48.00,63.80,51.00,31/12/2018 19:53:00,56.25,52.62,49.56,56.25
31/12/2018,20qh4,20qh4,47.7,19.9,37.47,55.50,51.00,31/12/2018 19:38:00,52.75,53.84,53.84,52.75
31/12/2018,20qh3,20qh3,24.0,0.0,48.34,60.40,60.30,31/12/2018 17:46:00,60.08,60.20,60.20,60.08
31/12/2018,20hh2,20hh2,0.0,0.0,0.00,0.00,0.00,,59.80,59.80,59.80,0.00
31/12/2018,20qh2,20qh2,24.4,0.8,58.30,83.10,58.30,31/12/2018 17:57:00,63.37,62.65,62.65,63.37
31/12/2018,20qh1,20qh1,39.2,65.5,55.70,75.00,70.00,31/12/2018 18:46:00,65.08,63.97,63.97,65.08
31/12/2018,20hh1,20hh1,0.0,0.0,0.00,0.00,0.00,,59.80,59.80,59.80,0.00
31/12/2018,20,20,447.6,123.8,50.00,67.90,67.00,31/12/2018 18:52:00,59.80,57.46,50.84,59.80
31/12/2018,19qh4,19qh4,55.8,57.0,56.60,70.00,70.00,31/12/2018 18:38:00,66.60,58.15,58.15,66.60
31/12/2018,19qh3,19qh3,66.4,60.0,63.29,70.50,70.50,31/12/2018 18:23:00,69.87,68.95,70.50,69.87
31/12/2018,19hh2,19hh2,0.0,0.0,0.00,0.00,0.00,,65.51,65.51,65.51,0.00
31/12/2018,19qh2,19qh2,43.8,72.4,65.00,73.50,72.50,31/12/2018 17:51:00,70.20,68.51,68.51,70.20
31/12/2018,19qh1,19qh1,66.4,136.6,63.90,72.50,72.50,31/12/2018 17:46:00,69.60,67.89,67.89,69.60
31/12/2018,19hh1,19hh1,0.0,0.0,0.00,0.00,0.00,,65.51,65.51,65.51,0.00
31/12/2018,19,19,462.8,229.6,57.00,70.10,70.00,31/12/2018 17:49:00,65.51,63.23,63.68,65.51
31/12/2018,18qh4,18qh4,22.9,41.6,62.16,74.50,74.50,31/12/2018 16:57:00,71.77,74.50,74.50,71.77
31/12/2018,18qh3,18qh3,26.6,111.6,65.56,73.50,73.50,31/12/2018 17:09:00,70.92,70.73,73.50,70.92
31/12/2018,18hh2,18hh2,0.0,0.0,0.00,0.00,0.00,,67.06,67.06,67.06,0.00
31/12/2018,18qh2,18qh2,85.4,106.2,60.48,72.50,72.50,31/12/2018 17:09:00,70.82,68.18,68.18,70.82
31/12/2018,18qh1,18qh1,65.8,57.7,63.76,72.10,70.50,31/12/2018 16:54:00,68.14,64.66,64.66,68.14
31/12/2018,18hh1,18hh1,0.0,0.0,0.00,0.00,0.00,,67.06,67.06,67.06,0.00
31/12/2018,18,18,372.7,255.4,55.00,72.60,55.00,31/12/2018 16:53:00,67.06,66.54,72.50,67.06
31/12/2018,17qh4,17qh4,84.4,124.5,67.95,75.00,73.50,31/12/2018 16:32:00,72.60,73.09,73.17,72.60
31/12/2018,17qh3,17qh3,54.9,114.4,65.21,73.50,73.50,31/12/2018 16:17:00,69.83,67.33,67.33,69.83
31/12/2018,17hh2,17hh2,0.0,0.0,0.00,0.00,0.00,,62.84,62.84,62.84,0.00
31/12/2018,17qh2,17qh2,39.1,53.2,56.70,70.00,70.00,31/12/2018 16:09:00,62.82,59.79,59.79,62.82
31/12/2018,17qh1,17qh1,45.1,120.2,46.00,63.60,46.00,31/12/2018 14:58:00,52.33,49.47,49.47,52.33
31/12/2018,17hh1,17hh1,0.0,0.0,0.00,0.00,0.00,,62.84,62.84,62.84,0.00
31/12/2018,17,17,476.8,168.4,58.43,68.00,58.43,31/12/2018 14:59:00,62.84,61.37,61.37,62.84
31/12/2018,16qh4,16qh4,31.2,0.3,57.92,61.40,58.92,31/12/2018 14:14:00,60.44,59.62,59.62,60.44
31/12/2018,16qh3,16qh3,33.7,0.1,59.10,61.89,61.89,31/12/2018 13:46:00,60.72,60.94,60.94,60.72
31/12/2018,16hh2,16hh2,0.0,0.0,0.00,0.00,0.00,,62.48,62.48,62.48,0.00
31/12/2018,16qh2,16qh2,25.9,15.0,53.00,62.40,53.00,31/12/2018 14:54:00,60.61,61.95,56.60,60.61
31/12/2018,16qh1,16qh1,17.6,27.0,56.60,62.60,60.60,31/12/2018 14:54:00,60.58,56.60,56.60,60.58
31/12/2018,16hh1,16hh1,0.0,0.0,0.00,0.00,0.00,,62.48,62.48,62.48,0.00
31/12/2018,16,16,304.9,304.6,55.00,66.60,56.50,31/12/2018 14:53:00,62.48,61.74,55.00,62.48
31/12/2018,15qh4,15qh4,38.1,7.4,53.14,61.00,54.60,31/12/2018 14:18:00,59.70,59.70,59.70,59.70
31/12/2018,15qh3,15qh3,63.9,35.1,30.00,61.00,49.50,31/12/2018 14:23:00,49.33,36.46,36.46,49.33
31/12/2018,15hh2,15hh2,0.0,0.0,0.00,0.00,0.00,,63.25,63.25,63.25,0.00
31/12/2018,15qh2,15qh2,75.4,75.4,30.00,59.70,46.00,31/12/2018 13:55:00,35.85,59.70,59.70,35.85
31/12/2018,15qh1,15qh1,51.1,123.1,39.90,84.50,39.90,31/12/2018 13:46:00,54.34,58.15,58.15,54.34
31/12/2018,15hh1,15hh1,0.0,0.0,0.00,0.00,0.00,,63.25,63.25,63.25,0.00
31/12/2018,15,15,307.0,128.3,52.30,67.50,65.00,31/12/2018 13:49:00,63.25,61.79,61.32,63.25
31/12/2018,14qh4,14qh4,105.0,103.5,40.00,62.30,62.30,31/12/2018 13:39:00,49.25,40.00,40.00,49.25
31/12/2018,14qh3,14qh3,51.0,93.1,40.00,69.00,57.80,31/12/2018 13:20:00,55.25,51.83,40.00,55.25
31/12/2018,14hh2,14hh2,0.0,0.0,0.00,0.00,0.00,,66.57,66.57,66.57,0.00
31/12/2018,14qh2,14qh2,17.7,102.5,42.80,70.30,42.80,31/12/2018 12:46:00,64.25,64.73,64.73,64.25
31/12/2018,14qh1,14qh1,0.7,147.9,63.90,75.00,64.00,31/12/2018 11:46:00,67.56,65.34,65.34,67.56
31/12/2018,14hh1,14hh1,0.0,0.0,0.00,0.00,0.00,,66.57,66.57,66.57,0.00
31/12/2018,14,14,321.3,295.6,60.00,70.00,70.00,31/12/2018 12:53:00,66.57,65.32,69.40,66.57
31/12/2018,13qh4,13qh4,67.0,81.8,39.70,71.20,71.20,31/12/2018 12:38:00,63.38,58.25,44.39,63.38
31/12/2018,13qh3,13qh3,31.5,52.2,55.00,89.80,71.20,31/12/2018 12:24:00,66.97,65.30,55.00,66.97
31/12/2018,13hh2,13hh2,0.0,0.0,0.00,0.00,0.00,,67.36,67.36,67.36,0.00
31/12/2018,13qh2,13qh2,17.2,72.2,59.30,71.20,71.20,31/12/2018 12:08:00,69.68,69.44,69.44,69.68
31/12/2018,13qh1,13qh1,32.0,50.4,64.20,71.20,71.20,31/12/2018 11:54:00,68.98,67.53,67.53,68.98
31/12/2018,13hh1,13hh1,0.0,0.0,0.00,0.00,0.00,,67.36,67.36,67.36,0.00
31/12/2018,13,13,171.8,430.9,62.30,70.00,70.00,31/12/2018 11:54:00,67.36,67.49,68.54,67.36
31/12/2018,12qh4,12qh4,0.5,49.4,66.84,70.00,70.00,31/12/2018 11:32:00,69.27,69.65,69.65,69.27
31/12/2018,12qh3,12qh3,9.4,40.9,40.50,70.00,70.00,31/12/2018 11:17:00,63.68,62.59,40.50,63.68
31/12/2018,12hh2,12hh2,0.0,0.0,0.00,0.00,0.00,,68.01,68.01,68.01,0.00
31/12/2018,12qh2,12qh2,12.2,46.8,40.01,75.00,40.01,31/12/2018 10:46:00,64.56,69.38,69.38,64.56
31/12/2018,12qh1,12qh1,5.6,26.9,53.65,66.60,59.90,31/12/2018 10:46:00,64.55,65.84,65.84,64.55
31/12/2018,12hh1,12hh1,0.0,0.0,0.00,0.00,0.00,,68.01,68.01,68.01,0.00
31/12/2018,12,12,337.1,916.8,60.00,70.50,60.05,31/12/2018 10:49:00,68.01,69.02,69.97,68.00
31/12/2018,11qh4,11qh4,2.7,42.7,57.30,70.00,62.60,31/12/2018 10:28:00,69.24,69.27,57.30,69.24
31/12/2018,11qh3,11qh3,1.8,65.7,38.00,70.00,38.00,31/12/2018 09:46:00,68.56,68.58,38.00,68.56
31/12/2018,11hh2,11hh2,0.0,0.0,0.00,0.00,0.00,,66.09,66.09,66.09,0.00
31/12/2018,11qh2,11qh2,10.1,31.9,59.80,65.02,62.09,31/12/2018 10:08:00,63.73,64.50,64.50,63.73
31/12/2018,11qh1,11qh1,17.8,51.1,50.00,63.00,54.50,31/12/2018 09:54:00,57.06,58.82,58.82,57.06
