# 31/12/2013 04:19:26 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
31/12/2013,19,24,15.0,15.0,29.50000,29.50000,29.50000,31/12/2013 14:57:00,,29.50000
31/12/2013,13,15,0.0,75.0,31.00000,31.00000,31.00000,31/12/2013 10:28:00,,31.00000
31/12/2013,1,24,10.0,10.0,23.25000,23.25000,23.25000,30/12/2013 19:22:00,,23.25000
31/12/2013,5,7,0.0,50.0,11.00000,11.00000,11.00000,30/12/2013 23:21:00,,11.00000
30/12/2013,1,24,140.0,0.0,,,,,,
30/12/2013,17,21,250.0,250.0,60.00000,60.00000,60.00000,30/12/2013 13:08:00,,60.00000
28/12/2013,18,24,0.0,70.0,42.00000,43.00000,43.00000,28/12/2013 12:32:00,,42.50000
27/12/2013,13,15,100.0,100.0,27.00000,27.00000,27.00000,27/12/2013 10:28:00,,27.00000
27/12/2013,8,9,50.0,0.0,24.00000,24.00000,24.00000,26/12/2013 22:34:00,,24.00000
25/12/2013,15,18,10.0,0.0,40.00000,40.00000,40.00000,25/12/2013 07:33:00,,40.00000
25/12/2013,23,24,180.0,0.0,34.00000,34.00000,34.00000,25/12/2013 13:26:00,,34.00000
25/12/2013,11,14,10.0,0.0,32.75000,32.75000,32.75000,25/12/2013 07:33:00,,32.75000
25/12/2013,9,20,0.0,25.0,30.00000,30.00000,30.00000,25/12/2013 01:00:00,,30.00000
24/12/2013,9,20,15.0,15.0,17.00000,17.00000,17.00000,23/12/2013 17:12:00,,17.00000
24/12/2013,1,24,30.0,30.0,13.00000,13.00000,13.00000,23/12/2013 16:54:00,,13.00000
24/12/2013,16,24,0.0,100.0,10.00000,10.00000,10.00000,23/12/2013 21:57:00,,10.00000
23/12/2013,14,16,0.0,100.0,,,,,,
20/12/2013,13,14,100.0,100.0,65.00000,65.00000,65.00000,20/12/2013 07:31:00,,65.00000
20/12/2013,13,15,100.0,100.0,60.50000,60.50000,60.50000,20/12/2013 08:03:00,,60.50000
20/12/2013,1,6,50.0,50.0,22.00000,22.00000,22.00000,19/12/2013 20:48:00,,22.00000
20/12/2013,16,17,114.0,114.0,39.00000,39.00000,39.00000,20/12/2013 13:37:00,,39.00000
19/12/2013,12,24,40.0,40.0,,,,,,
19/12/2013,22,24,1.0,1.0,,,,,,
18/12/2013,1,24,41.0,41.0,51.00000,56.00000,56.00000,17/12/2013 21:32:00,,52.95122
17/12/2013,13,14,45.0,45.0,64.00000,64.00000,64.00000,17/12/2013 09:55:00,,64.00000
17/12/2013,13,24,25.0,25.0,69.00000,69.00000,69.00000,17/12/2013 08:59:00,,69.00000
17/12/2013,1,10,5.0,5.0,50.00000,50.00000,50.00000,16/12/2013 21:27:00,,50.00000
17/12/2013,1,24,15.0,15.0,60.00000,60.00000,60.00000,16/12/2013 18:11:00,,60.00000
16/12/2013,13,20,40.0,40.0,65.00000,65.00000,65.00000,16/12/2013 11:00:00,,65.00000
16/12/2013,3,5,150.0,150.0,22.00000,22.00000,22.00000,15/12/2013 19:14:00,,22.00000
16/12/2013,1,10,12.0,12.0,45.00000,45.00000,45.00000,15/12/2013 18:19:00,,45.00000
15/12/2013,1,2,50.0,50.0,52.00000,52.00000,52.00000,14/12/2013 20:37:00,,52.00000
15/12/2013,1,4,50.0,50.0,47.00000,47.00000,47.00000,14/12/2013 20:39:00,,47.00000
14/12/2013,11,24,2.0,2.0,62.00000,62.00000,62.00000,14/12/2013 07:18:00,,62.00000
14/12/2013,1,7,16.0,16.0,49.60000,49.60000,49.60000,13/12/2013 22:33:00,,49.60000
14/12/2013,3,8,20.0,20.0,50.00000,50.00000,50.00000,13/12/2013 22:47:00,,50.00000
13/12/2013,2,24,14.0,14.0,67.00000,67.00000,67.00000,12/12/2013 22:49:00,,67.00000
13/12/2013,13,24,20.0,20.0,71.00000,71.00000,71.00000,13/12/2013 10:14:00,,71.00000
12/12/2013,1,3,16.0,16.0,56.50000,56.50000,56.50000,11/12/2013 22:07:00,,56.50000
12/12/2013,21,24,489.0,489.0,75.00000,85.00000,84.00000,12/12/2013 15:47:00,,81.95501
12/12/2013,17,24,25.0,25.0,88.00000,88.00000,88.00000,12/12/2013 09:46:00,,88.00000
12/12/2013,14,17,100.0,0.0,78.00000,78.00000,78.00000,12/12/2013 11:31:00,,78.00000
