# 16/01/2020 06:03:08 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
04/12/2019,18,24,11.0,11.0,64.70000,64.70000,64.70000,04/12/2019 12:27:00,,64.70000
03/12/2019,11,24,11.0,11.0,60.00000,60.00000,60.00000,03/12/2019 08:19:00,,60.00000
30/11/2019,12,16,50.0,0.0,46.50000,46.50000,46.50000,30/11/2019 08:41:00,,46.50000
28/11/2019,14,24,11.0,11.0,48.00000,48.00000,48.00000,28/11/2019 08:34:00,,48.00000
28/11/2019,1,6,4.4,0.0,26.00000,26.00000,26.00000,27/11/2019 22:33:00,,26.00000
27/11/2019,11,12,0.0,50.0,43.00000,43.00000,43.00000,27/11/2019 07:06:00,,43.00000
25/11/2019,12,17,141.0,0.0,57.00000,57.00000,57.00000,25/11/2019 07:07:00,,57.00000
25/11/2019,22,24,89.0,0.0,41.00000,41.00000,41.00000,25/11/2019 10:14:00,,41.00000
25/11/2019,11,24,11.0,11.0,55.00000,55.00000,55.00000,25/11/2019 07:11:00,,55.00000
25/11/2019,20,21,298.0,149.0,52.00000,52.00000,52.00000,25/11/2019 08:35:00,,52.00000
25/11/2019,6,11,100.0,0.0,59.00000,59.00000,59.00000,25/11/2019 03:24:00,,59.00000
17/11/2019,8,10,9.0,0.0,38.21000,38.21000,38.21000,16/11/2019 22:33:00,,38.21000
17/11/2019,23,24,312.0,0.0,37.75000,45.48000,37.75000,16/11/2019 22:33:00,,44.89642
16/11/2019,1,3,118.0,0.0,43.52000,43.52000,43.52000,15/11/2019 22:04:00,,43.52000
14/11/2019,17,18,25.0,94.0,65.00000,66.70000,66.05000,13/11/2019 22:12:00,,65.94543
13/11/2019,12,20,90.0,90.0,59.00000,59.00000,59.00000,13/11/2019 06:48:00,,59.00000
12/11/2019,14,22,56.0,56.0,55.00000,55.00000,55.00000,12/11/2019 10:17:00,,55.00000
12/11/2019,15,17,54.0,54.0,53.00000,53.00000,53.00000,12/11/2019 12:34:00,,53.00000
12/11/2019,8,11,35.0,35.0,80.00000,80.00000,80.00000,12/11/2019 04:36:00,,80.00000
12/11/2019,3,6,110.0,110.0,35.00000,35.00000,35.00000,11/11/2019 21:33:00,,35.00000
08/11/2019,12,24,12.0,12.0,54.00000,54.00000,54.00000,08/11/2019 08:51:00,,54.00000
02/11/2019,16,19,74.1,0.0,32.81000,32.95000,32.81000,01/11/2019 22:23:00,,32.89070
26/10/2019,14,17,8.0,8.0,22.99000,22.99000,22.99000,26/10/2019 09:02:00,,22.99000
26/10/2019,21,24,8.0,8.0,25.99000,25.99000,25.99000,26/10/2019 09:03:00,,25.99000
24/10/2019,6,8,0.0,40.0,43.00000,43.00000,43.00000,24/10/2019 01:04:00,,43.00000
09/10/2019,5,6,115.0,115.0,24.00000,24.00000,24.00000,09/10/2019 00:17:00,,24.00000
09/10/2019,2,6,150.0,150.0,24.02000,24.02000,24.02000,08/10/2019 23:44:00,,24.02000
08/10/2019,1,8,4.0,4.0,26.02000,26.02000,26.02000,07/10/2019 21:46:00,,26.02000
06/10/2019,19,24,0.0,400.0,38.00000,38.00000,38.00000,06/10/2019 10:33:00,,38.00000
04/10/2019,17,23,3.5,0.0,43.00000,43.00000,43.00000,04/10/2019 09:36:00,,43.00000
04/10/2019,15,20,41.0,0.0,43.00000,43.00000,43.00000,04/10/2019 09:27:00,,43.00000
03/10/2019,3,7,17.5,0.0,24.00000,24.00000,24.00000,02/10/2019 21:59:00,,24.00000
03/10/2019,3,6,32.5,0.0,21.50000,21.50000,21.50000,02/10/2019 22:00:00,,21.50000
25/09/2019,7,9,100.0,0.0,44.00000,44.00000,44.00000,25/09/2019 01:43:00,,44.00000
25/09/2019,7,10,134.5,269.0,43.98000,44.49000,43.98000,24/09/2019 22:17:00,,44.18450
25/09/2019,7,8,0.0,80.0,38.44000,38.46000,38.46000,24/09/2019 22:17:00,,38.45000
24/09/2019,9,10,109.5,184.0,49.26000,49.99000,49.99000,23/09/2019 22:16:00,,49.51333
24/09/2019,7,12,0.0,151.0,47.71000,47.71000,47.71000,23/09/2019 22:16:00,,47.71000
