# 16/01/2020 06:03:52 PM : Block Values - EPEX Spot Intraday Trading - Germany
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
03/12/2019,8,9,0.0,73.0,69.90000,69.90000,69.90000,02/12/2019 22:06:00,,69.90000
30/11/2019,12,16,25.0,0.0,43.50000,43.50000,43.50000,30/11/2019 07:18:00,,43.50000
29/11/2019,7,11,0.0,20.0,43.00000,43.00000,43.00000,29/11/2019 04:29:00,,43.00000
25/11/2019,10,19,0.0,20.0,58.00000,58.00000,58.00000,25/11/2019 04:10:00,,58.00000
25/11/2019,12,17,0.0,141.0,57.00000,57.00000,57.00000,25/11/2019 07:07:00,,57.00000
25/11/2019,6,11,0.0,100.0,59.00000,59.00000,59.00000,25/11/2019 03:24:00,,59.00000
25/11/2019,22,24,0.0,89.0,41.00000,41.00000,41.00000,25/11/2019 10:14:00,,41.00000
24/11/2019,2,3,0.0,30.0,16.00000,16.00000,16.00000,23/11/2019 18:03:00,,16.00000
24/11/2019,5,7,0.0,40.0,7.00000,7.00000,7.00000,23/11/2019 18:03:00,,7.00000
23/11/2019,8,20,0.0,27.0,32.00000,32.00000,32.00000,22/11/2019 18:24:00,,32.00000
23/11/2019,21,24,0.0,50.0,24.00000,24.00000,24.00000,23/11/2019 12:12:00,,24.00000
23/11/2019,17,20,100.0,23.0,32.00000,35.00000,34.00000,23/11/2019 14:53:00,,34.03252
21/11/2019,7,9,30.0,0.0,64.00000,64.00000,64.00000,20/11/2019 23:38:00,,64.00000
20/11/2019,9,10,10.0,40.4,81.00000,81.00000,81.00000,20/11/2019 06:55:00,,81.00000
20/11/2019,7,10,0.0,50.0,65.99000,65.99000,65.99000,20/11/2019 01:48:00,,65.99000
17/11/2019,8,10,0.0,9.0,38.21000,38.21000,38.21000,16/11/2019 22:33:00,,38.21000
17/11/2019,23,24,209.1,322.0,29.92000,37.75000,37.75000,16/11/2019 22:33:00,,30.70141
16/11/2019,1,24,50.0,50.0,36.05000,36.05000,36.05000,15/11/2019 22:46:00,,36.05000
16/11/2019,1,3,89.8,165.3,38.36000,38.72000,38.60000,15/11/2019 22:05:00,,38.54835
15/11/2019,23,24,0.0,9.5,40.22000,40.22000,40.22000,14/11/2019 22:02:00,,40.22000
15/11/2019,6,8,0.0,75.0,33.00000,33.00000,33.00000,14/11/2019 22:47:00,,33.00000
15/11/2019,16,17,157.0,67.5,45.79000,46.80000,46.50000,14/11/2019 22:12:00,,46.28421
14/11/2019,17,18,122.0,266.0,55.88000,62.26000,55.88000,13/11/2019 22:17:00,,57.42901
14/11/2019,1,3,0.0,50.0,34.00000,34.00000,34.00000,13/11/2019 21:55:00,,34.00000
13/11/2019,20,22,0.0,50.0,40.01000,40.01000,40.01000,13/11/2019 16:32:00,,40.01000
13/11/2019,23,24,0.0,50.0,33.00000,33.00000,33.00000,13/11/2019 19:18:00,,33.00000
13/11/2019,20,23,50.0,0.0,40.00000,40.00000,40.00000,13/11/2019 17:52:00,,40.00000
12/11/2019,2,7,0.0,100.0,35.00000,35.50000,35.50000,11/11/2019 23:14:00,,35.25000
12/11/2019,2,6,0.0,50.0,34.50000,34.50000,34.50000,11/11/2019 23:14:00,,34.50000
09/11/2019,1,5,0.0,11.0,38.00000,38.00000,38.00000,08/11/2019 22:16:00,,38.00000
09/11/2019,5,6,30.0,30.0,38.00000,38.00000,38.00000,09/11/2019 00:09:00,,38.00000
08/11/2019,23,24,0.0,53.0,42.50000,42.50000,42.50000,07/11/2019 22:05:00,,42.50000
08/11/2019,22,24,0.0,30.0,42.50000,42.50000,42.50000,07/11/2019 22:05:00,,42.50000
07/11/2019,1,24,2.0,2.0,43.50000,43.50000,43.50000,06/11/2019 16:15:00,,43.50000
06/11/2019,1,9,7.0,0.0,42.50000,42.50000,42.50000,05/11/2019 20:52:00,,42.50000
02/11/2019,5,6,0.0,23.6,18.51000,18.80000,18.80000,01/11/2019 22:10:00,,18.64983
01/11/2019,1,24,10.0,10.0,31.01000,31.01000,31.01000,31/10/2019 21:03:00,,31.01000
26/10/2019,17,18,10.0,0.0,25.00000,25.00000,25.00000,26/10/2019 12:28:00,,25.00000
26/10/2019,19,20,0.0,10.0,41.50000,41.50000,41.50000,26/10/2019 15:15:00,,41.50000
24/10/2019,1,9,0.0,4.0,30.00000,30.00000,30.00000,23/10/2019 19:24:00,,30.00000
13/10/2019,3,6,0.0,50.0,24.00000,24.00000,24.00000,12/10/2019 20:45:00,,24.00000
13/10/2019,2,6,0.0,50.0,24.00000,24.00000,24.00000,12/10/2019 20:42:00,,24.00000
07/10/2019,11,16,70.0,0.0,55.00000,55.00000,55.00000,06/10/2019 23:17:00,,55.00000
03/10/2019,12,16,0.0,90.0,37.50000,37.50000,37.50000,03/10/2019 08:09:00,,37.50000
03/10/2019,4,6,0.0,50.0,22.50000,22.50000,22.50000,02/10/2019 21:12:00,,22.50000
03/10/2019,3,7,0.0,17.5,23.50000,23.50000,23.50000,02/10/2019 21:59:00,,23.50000
03/10/2019,4,5,0.0,50.0,20.00000,20.00000,20.00000,02/10/2019 21:14:00,,20.00000
03/10/2019,3,6,0.0,65.0,20.50000,21.00000,21.00000,02/10/2019 21:59:00,,20.75000
02/10/2019,18,24,10.0,0.0,37.00000,37.00000,37.00000,02/10/2019 13:33:00,,37.00000
02/10/2019,22,23,0.0,50.0,31.00000,31.00000,31.00000,02/10/2019 17:36:00,,31.00000
01/10/2019,11,12,0.0,170.0,43.96000,43.96000,43.96000,30/09/2019 22:02:00,,43.96000
01/10/2019,11,14,200.0,359.9,42.50000,43.00000,43.00000,30/09/2019 22:35:00,,42.71322
26/09/2019,11,12,0.0,10.0,50.11000,50.11000,50.11000,26/09/2019 01:09:00,,50.11000
26/09/2019,1,6,80.0,80.0,35.50000,35.50000,35.50000,25/09/2019 21:51:00,,35.50000
26/09/2019,14,17,2.0,2.0,47.00000,48.00000,48.00000,26/09/2019 11:28:00,,47.50000
26/09/2019,18,24,3.0,3.0,41.00000,41.00000,41.00000,26/09/2019 11:28:00,,41.00000
26/09/2019,13,17,1.0,1.0,47.00000,47.00000,47.00000,26/09/2019 10:59:00,,47.00000
25/09/2019,7,8,163.0,112.0,54.02000,57.40000,57.40000,24/09/2019 22:15:00,,55.22714
25/09/2019,7,10,154.5,134.5,58.30000,58.32000,58.30000,24/09/2019 22:10:00,,58.31004
25/09/2019,1,9,0.0,4.0,41.00000,41.00000,41.00000,24/09/2019 20:38:00,,41.00000
25/09/2019,13,17,100.0,100.0,47.99000,47.99000,47.99000,25/09/2019 08:18:00,,47.99000
24/09/2019,9,10,238.0,46.0,60.40000,60.65000,60.40000,23/09/2019 22:16:00,,60.52500
24/09/2019,9,12,46.0,0.0,57.02000,57.02000,57.02000,23/09/2019 21:15:00,,57.02000
24/09/2019,7,8,17.0,0.0,60.00000,60.00000,60.00000,23/09/2019 20:30:00,,60.00000
24/09/2019,7,12,151.5,76.0,57.03000,57.03000,57.03000,23/09/2019 22:00:00,,57.03000
22/09/2019,7,8,10.0,200.0,26.00000,26.00000,26.00000,21/09/2019 22:08:00,,26.00000
22/09/2019,1,24,56.0,28.0,29.04000,29.04000,29.04000,21/09/2019 22:03:00,,29.04000
22/09/2019,3,8,290.0,146.0,26.80000,27.32000,26.80000,21/09/2019 22:02:00,,27.04248
21/09/2019,18,19,115.0,115.0,45.00000,45.00000,45.00000,20/09/2019 20:30:00,,45.00000
21/09/2019,8,10,390.0,30.0,40.00000,41.40000,40.00000,20/09/2019 22:08:00,,40.24741
20/09/2019,19,21,92.5,13.2,54.20000,54.21000,54.20000,19/09/2019 22:07:00,,54.20803
19/09/2019,18,21,31.0,0.0,58.48000,58.48000,58.48000,18/09/2019 22:14:00,,58.48000
18/09/2019,12,18,120.0,120.0,28.98000,29.00000,29.00000,18/09/2019 09:10:00,,28.99000
18/09/2019,10,12,100.0,100.0,28.99000,28.99000,28.99000,18/09/2019 07:31:00,,28.99000
18/09/2019,10,11,0.0,8.0,39.00000,39.00000,39.00000,17/09/2019 22:11:00,,39.00000
14/09/2019,12,13,20.0,0.0,32.00000,32.00000,32.00000,14/09/2019 08:05:00,,32.00000
14/09/2019,4,7,136.0,0.0,31.92000,31.92000,31.92000,13/09/2019 21:57:00,,31.92000
12/09/2019,11,12,150.0,0.0,43.50000,43.50000,43.50000,11/09/2019 18:42:00,,43.50000
10/09/2019,6,7,194.0,184.0,39.00000,40.51000,39.00000,09/09/2019 22:14:00,,40.47717
08/09/2019,11,17,3.0,3.0,29.00000,29.00000,29.00000,08/09/2019 08:37:00,,29.00000
08/09/2019,1,10,0.0,3.0,30.00000,30.00000,30.00000,07/09/2019 19:49:00,,30.00000
01/09/2019,3,10,0.0,10.0,18.00000,18.00000,18.00000,01/09/2019 00:28:00,,18.00000
31/08/2019,4,5,0.0,58.3,29.14000,29.14000,29.14000,30/08/2019 22:06:00,,29.14000
30/08/2019,2,9,0.0,17.0,38.00000,38.00000,38.00000,29/08/2019 23:11:00,,38.00000
29/08/2019,7,10,80.0,0.0,56.52000,56.52000,56.52000,28/08/2019 22:07:00,,56.52000
29/08/2019,9,10,19.0,0.0,61.16000,61.16000,61.16000,28/08/2019 22:07:00,,61.16000
29/08/2019,21,22,23.0,0.0,54.00000,54.00000,54.00000,28/08/2019 22:13:00,,54.00000
