# 16/01/2020 06:02:49 PM : Hour Values - EPEX Spot Intraday Trading - Switzerland
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
31/12/2019,24qh4,24qh4,0.0,0.0,0.00,0.00,0.00,,36.63,0.00
31/12/2019,24qh3,24qh3,0.0,0.0,0.00,0.00,0.00,,36.63,0.00
31/12/2019,24hh2,24hh2,0.0,0.0,0.00,0.00,0.00,,36.63,0.00
31/12/2019,24qh2,24qh2,0.0,0.0,0.00,0.00,0.00,,36.63,0.00
31/12/2019,24qh1,24qh1,0.0,0.0,0.00,0.00,0.00,,36.63,0.00
31/12/2019,24hh1,24hh1,0.0,0.0,0.00,0.00,0.00,,36.63,0.00
31/12/2019,24,24,20.0,20.0,35.50,37.00,37.00,30/12/2019 18:00:00,36.63,36.63
31/12/2019,23qh4,23qh4,0.0,0.0,0.00,0.00,0.00,,36.90,0.00
31/12/2019,23qh3,23qh3,0.0,0.0,0.00,0.00,0.00,,36.90,0.00
31/12/2019,23hh2,23hh2,0.0,0.0,0.00,0.00,0.00,,36.90,0.00
31/12/2019,23qh2,23qh2,0.0,0.0,0.00,0.00,0.00,,36.90,0.00
31/12/2019,23qh1,23qh1,0.0,0.0,0.00,0.00,0.00,,36.90,0.00
31/12/2019,23hh1,23hh1,0.0,0.0,0.00,0.00,0.00,,36.90,0.00
31/12/2019,23,23,0.0,0.0,0.00,0.00,0.00,,36.90,0.00
31/12/2019,22qh4,22qh4,0.0,0.0,0.00,0.00,0.00,,36.77,0.00
31/12/2019,22qh3,22qh3,0.0,0.0,0.00,0.00,0.00,,36.77,0.00
31/12/2019,22hh2,22hh2,0.0,0.0,0.00,0.00,0.00,,36.77,0.00
31/12/2019,22qh2,22qh2,0.0,0.0,0.00,0.00,0.00,,36.77,0.00
31/12/2019,22qh1,22qh1,0.0,0.0,0.00,0.00,0.00,,36.77,0.00
31/12/2019,22hh1,22hh1,0.0,0.0,0.00,0.00,0.00,,36.77,0.00
31/12/2019,22,22,0.0,0.0,0.00,0.00,0.00,,36.77,0.00
31/12/2019,21qh4,21qh4,0.0,0.0,0.00,0.00,0.00,,37.03,0.00
31/12/2019,21qh3,21qh3,0.0,0.0,0.00,0.00,0.00,,37.03,0.00
31/12/2019,21hh2,21hh2,0.0,0.0,0.00,0.00,0.00,,37.03,0.00
31/12/2019,21qh2,21qh2,0.0,0.0,0.00,0.00,0.00,,37.03,0.00
31/12/2019,21qh1,21qh1,0.0,0.0,0.00,0.00,0.00,,37.03,0.00
31/12/2019,21hh1,21hh1,0.0,0.0,0.00,0.00,0.00,,37.03,0.00
